"",BBK01.OEAM04U,BBK01.OEAM04U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:38:33,
2002-01,0.567,
2002-04,0.595,
2002-07,0.556,
2002-10,0.453,
2003-01,0.491,
2003-04,0.480,
2003-07,0.503,
2003-10,0.483,
2004-01,0.571,
2004-04,0.502,
2004-07,0.530,
2004-10,0.455,
2005-01,0.465,
2005-04,0.464,
2005-07,0.537,
2005-10,0.489,
2006-01,0.624,
2006-04,0.645,
2006-07,0.717,
2006-10,0.755,
2007-01,0.864,
2007-04,0.923,
2007-07,1.000,
2007-10,1.008,
2008-01,1.032,
2008-04,1.110,
2008-07,1.225,
2008-10,0.955,
2009-01,0.677,
2009-04,0.545,
2009-07,0.426,
2009-10,0.357,
2010-01,0.315,
2010-04,0.288,
2010-07,0.319,
2010-10,0.333,
2011-01,0.395,
2011-04,0.437,
2011-07,0.489,
2011-10,0.637,
2012-01,0.696,
2012-04,0.722,
2012-07,0.719,
2012-10,0.651,
2013-01,0.599,
2013-04,0.570,
2013-07,0.616,
2013-10,0.530,
2014-01,0.613,
2014-04,0.581,
2014-07,0.545,
