"",BBK01.OELB01K,BBK01.OELB01K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:46,
2002-01,3.424,
2002-04,3.519,
2002-07,3.525,
2002-10,3.532,
2003-01,3.469,
2003-04,3.470,
2003-07,3.479,
2003-10,3.513,
2004-01,3.503,
2004-04,3.567,
2004-07,3.615,
2004-10,3.915,
2005-01,3.869,
2005-04,3.873,
2005-07,3.943,
2005-10,4.004,
2006-01,4.020,
2006-04,4.074,
2006-07,4.113,
2006-10,3.959,
2007-01,3.930,
2007-04,3.975,
2007-07,3.921,
2007-10,3.932,
2008-01,3.925,
2008-04,4.005,
2008-07,3.995,
2008-10,4.043,
2009-01,4.056,
2009-04,4.073,
2009-07,4.120,
2009-10,4.182,
2010-01,4.146,
2010-04,4.465,
2010-07,4.518,
2010-10,4.569,
2011-01,4.601,
2011-04,4.723,
2011-07,4.805,
2011-10,4.908,
2012-01,4.930,
2012-04,6.029,
2012-07,6.113,
2012-10,6.205,
2013-01,6.344,
2013-04,6.375,
2013-07,6.497,
2013-10,6.557,
2014-01,6.780,
2014-04,6.827,
2014-07,6.969,
