"",BBK01.OEAJ04V,BBK01.OEAJ04V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:59:22,
2002-01,2.134,
2002-04,2.253,
2002-07,2.228,
2002-10,2.321,
2003-01,2.320,
2003-04,2.117,
2003-07,2.161,
2003-10,2.364,
2004-01,2.051,
2004-04,1.747,
2004-07,2.040,
2004-10,2.296,
2005-01,1.883,
2005-04,1.733,
2005-07,1.771,
2005-10,1.993,
2006-01,1.968,
2006-04,2.019,
2006-07,2.240,
2006-10,2.487,
2007-01,2.858,
2007-04,2.758,
2007-07,2.963,
2007-10,2.994,
2008-01,3.246,
2008-04,3.294,
2008-07,3.741,
2008-10,3.665,
2009-01,2.999,
2009-04,2.433,
2009-07,1.984,
2009-10,1.993,
2010-01,2.087,
2010-04,2.021,
2010-07,1.928,
2010-10,1.956,
2011-01,2.120,
2011-04,2.036,
2011-07,2.200,
2011-10,2.576,
2012-01,2.449,
2012-04,2.556,
2012-07,2.419,
2012-10,2.282,
2013-01,2.163,
2013-04,2.045,
2013-07,2.037,
2013-10,2.137,
2014-01,2.235,
2014-04,2.113,
2014-07,1.952,
