"",BBK01.OEXL05Q,BBK01.OEXL05Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:16,
2002-01,0.046,
2002-04,0.044,
2002-07,0.047,
2002-10,0.045,
2003-01,0.046,
2003-04,0.044,
2003-07,0.042,
2003-10,0.037,
2004-01,0.061,
2004-04,0.080,
2004-07,0.110,
2004-10,0.112,
2005-01,0.119,
2005-04,0.124,
2005-07,0.121,
2005-10,0.124,
2006-01,0.124,
2006-04,0.124,
2006-07,0.128,
2006-10,0.135,
2007-01,0.140,
2007-04,0.159,
2007-07,0.160,
2007-10,0.162,
2008-01,0.158,
2008-04,0.154,
2008-07,0.156,
2008-10,0.247,
2009-01,0.300,
2009-04,0.324,
2009-07,0.369,
2009-10,0.407,
2010-01,0.454,
2010-04,0.469,
2010-07,0.482,
2010-10,0.495,
2011-01,0.541,
2011-04,0.568,
2011-07,0.589,
2011-10,0.614,
2012-01,0.640,
2012-04,0.650,
2012-07,0.655,
2012-10,0.642,
2013-01,0.649,
2013-04,0.646,
2013-07,0.643,
2013-10,0.543,
2014-01,0.471,
2014-04,0.452,
2014-07,0.394,
