"",BBK01.OEYI02O,BBK01.OEYI02O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:44,
2002-01,0.834,
2002-04,0.709,
2002-07,0.959,
2002-10,0.938,
2003-01,1.181,
2003-04,1.344,
2003-07,1.061,
2003-10,1.843,
2004-01,1.261,
2004-04,1.608,
2004-07,0.966,
2004-10,0.663,
2005-01,1.321,
2005-04,1.597,
2005-07,1.634,
2005-10,1.180,
2006-01,1.765,
2006-04,1.927,
2006-07,1.755,
2006-10,1.620,
2007-01,1.342,
2007-04,1.904,
2007-07,1.896,
2007-10,1.767,
2008-01,2.064,
2008-04,1.391,
2008-07,1.194,
2008-10,0.523,
2009-01,0.640,
2009-04,0.622,
2009-07,0.758,
2009-10,1.090,
2010-01,1.033,
2010-04,1.659,
2010-07,1.714,
2010-10,1.873,
2011-01,1.782,
2011-04,2.281,
2011-07,1.676,
2011-10,1.972,
2012-01,1.820,
2012-04,1.730,
2012-07,1.729,
2012-10,2.438,
2013-01,2.307,
2013-04,2.353,
2013-07,2.451,
2013-10,2.448,
2014-01,2.267,
2014-04,2.172,
2014-07,2.485,
