"",BBK01.OELI04S,BBK01.OELI04S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:48,
2002-01,0.467,
2002-04,0.456,
2002-07,0.462,
2002-10,0.470,
2003-01,0.443,
2003-04,0.425,
2003-07,0.407,
2003-10,0.404,
2004-01,0.398,
2004-04,0.375,
2004-07,0.367,
2004-10,0.373,
2005-01,0.371,
2005-04,0.333,
2005-07,0.344,
2005-10,0.351,
2006-01,0.350,
2006-04,0.341,
2006-07,0.334,
2006-10,0.356,
2007-01,0.319,
2007-04,0.314,
2007-07,0.313,
2007-10,0.348,
2008-01,0.360,
2008-04,0.366,
2008-07,0.390,
2008-10,0.444,
2009-01,0.446,
2009-04,0.403,
2009-07,0.347,
2009-10,0.311,
2010-01,0.291,
2010-04,0.284,
2010-07,0.271,
2010-10,0.277,
2011-01,0.315,
2011-04,0.308,
2011-07,0.275,
2011-10,0.356,
2012-01,0.344,
2012-04,0.355,
2012-07,0.300,
2012-10,0.265,
2013-01,0.284,
2013-04,0.229,
2013-07,0.205,
2013-10,0.213,
2014-01,0.244,
2014-04,0.255,
2014-07,0.262,
