"",BBFB1.Q.N.DE.FR.S1.S1.T.A.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.FR.S1.S1.T.A.FA.D.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / France,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:41:16,
1991-01,245.061,
1991-04,252.435,
1991-07,428.532,
1991-10,1826.466,
1992-01,163.218,
1992-04,401.534,
1992-07,362.306,
1992-10,441.610,
1993-01,114.143,
1993-04,115.639,
1993-07,575.503,
1993-10,321.178,
1994-01,386.460,
1994-04,236.097,
1994-07,738.165,
1994-10,322.145,
1995-01,534.868,
1995-04,163.162,
1995-07,816.612,
1995-10,248.927,
1996-01,581.236,
1996-04,904.127,
1996-07,265.234,
1996-10,328.449,
1997-01,926.852,
1997-04,764.203,
1997-07,58.717,
1997-10,876.819,
1998-01,1533.255,
1998-04,5028.853,
1998-07,1863.186,
1998-10,186.610,
1999-01,1006.229,
1999-04,1064.822,
1999-07,631.473,
1999-10,3920.940,
2000-01,525.136,
2000-04,1475.792,
2000-07,1158.257,
2000-10,3228.185,
2001-01,1953.043,
2001-04,479.218,
2001-07,1653.646,
2001-10,2915.112,
2002-01,1269.943,
2002-04,6479.879,
2002-07,1340.955,
2002-10,-169.920,
2003-01,5711.865,
2003-04,3428.849,
2003-07,-1028.313,
2003-10,-5904.243,
2004-01,2495.410,
2004-04,2731.665,
2004-07,1384.167,
2004-10,313.054,
2005-01,1858.344,
2005-04,62.034,
2005-07,2029.804,
2005-10,-6948.188,
2006-01,807.030,
2006-04,-718.761,
2006-07,-1600.294,
2006-10,-622.757,
2007-01,3712.380,
2007-04,3105.951,
2007-07,758.639,
2007-10,-4607.388,
2008-01,7909.019,
2008-04,725.737,
2008-07,-1567.642,
2008-10,-8203.995,
2009-01,629.729,
2009-04,959.295,
2009-07,1087.202,
2009-10,-2040.766,
2010-01,3024.111,
2010-04,1349.260,
2010-07,122.457,
2010-10,-1223.362,
2011-01,601.816,
2011-04,1746.232,
2011-07,-1950.721,
2011-10,619.108,
2012-01,1281.243,
2012-04,2098.830,
2012-07,888.259,
2012-10,-920.501,
2013-01,1183.143,
2013-04,1920.174,
2013-07,-1031.686,
2013-10,3157.009,
2014-01,3760.909,Provisional value
2014-04,-805.526,Provisional value
2014-07,4224.365,Provisional value
2014-10,500.012,Provisional value
