"",BBEX3.M.PKR.USD.CA.AB.A01,BBEX3.M.PKR.USD.CA.AB.A01_FLAGS
"",Exchange rates for the US dollar in Pakistan * / USD 1 = PKR ... (selling),
unit,PKR (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:20:15,
1990-01,21.5485,
1990-02,21.5485,
1990-03,21.6089,
1990-04,21.9912,
1990-05,22.0314,
1990-06,21.9409,
1990-07,21.8503,
1990-08,21.8704,
1990-09,21.8704,
1990-10,21.9812,
1990-11,21.9812,
1990-12,22.0314,
1991-01,22.2830,
1991-02,22.2830,
1991-03,23.0878,
1991-04,23.6410,
1991-05,23.9428,
1991-06,24.4458,
1991-07,24.7980,
1991-08,24.8482,
1991-09,24.7476,
1991-10,24.8281,
1991-11,24.8683,
1991-12,24.8683,
1992-01,24.7980,
1992-02,24.8482,
1992-03,25.1299,
1992-04,25.2004,
1992-05,25.2506,
1992-06,25.2808,
1992-07,25.2808,
1992-08,25.2305,
1992-09,25.2305,
1992-10,25.4016,
1992-11,25.7235,
1992-12,25.8542,
1993-01,26.1560,
1993-02,26.4076,
1993-03,26.8099,
1993-04,26.8602,
1993-05,27.1016,
1993-06,27.3230,
1993-07,30.0292,
1993-08,30.0292,
1993-09,30.0292,
1993-10,30.2304,
1993-11,30.2304,
1993-12,30.3007,
1994-01,30.4416,
1994-02,30.6529,
1994-03,30.6830,
1994-04,30.7334,
1994-05,30.8340,
1994-06,30.8340,
1994-07,30.7736,
1994-08,30.8340,
1994-09,30.8340,
1994-10,30.8340,
1994-11,30.8842,
1994-12,30.9848,
1995-01,31.0452,
1995-02,31.0653,
1995-03,31.0653,
1995-04,31.0452,
1995-05,31.1559,
1995-06,31.1961,
1995-07,31.3772,
1995-08,31.5079,
1995-09,31.7394,
1995-10,34.4556,
1995-11,34.4556,
1995-12,34.4556,
1996-01,34.5360,
1996-02,34.6064,
1996-03,34.7271,
1996-04,34.9586,
1996-05,35.0390,
1996-06,35.3106,
1996-07,35.5319,
1996-08,35.8337,
1996-09,37.1919,
1996-10,40.3607,
1996-11,40.3607,
1996-12,40.3607,
1997-01,40.3607,
1997-02,40.3607,
1997-03,40.3607,
1997-04,40.4814,
1997-05,40.6324,
1997-06,40.7028,
1997-07,40.7631,
1997-08,40.7631,
1997-09,40.7631,
1997-10,44.3144,
1997-11,44.3144,
1997-12,44.3144,
1998-01,44.3144,
1998-02,44.3144,
1998-03,44.4300,
1998-04,44.2300,
1998-05,44.4900,
1998-06,46.4400,
1998-07,46.2300,
1998-08,50.2620,comment
1998-09,50.3297,
1998-10,51.1148,
1998-11,50.3599,
1998-12,49.7194,
1999-01,50.3098,
1999-02,50.5332,
1999-03,50.3944,
1999-04,50.8061,
1999-05,51.7500,comment
1999-06,51.6100,
1999-07,51.3125,
1999-08,51.9000,
1999-09,51.8720,
1999-10,51.9000,
1999-11,51.9000,
1999-12,51.9000,
2000-01,51.9000,
2000-02,51.9000,
2000-03,51.9000,
2000-04,51.9000,
2000-05,51.9000,
2000-06,52.3000,
2000-07,53.5000,
2000-08,55.0500,
2000-09,58.7000,
2000-10,57.5500,
2000-11,58.1500,
2000-12,58.3000,
2001-01,59.5200,
2001-02,60.5000,
2001-03,61.2500,
2001-04,61.3000,
2001-05,63.5000,
2001-06,64.3500,
2001-07,64.3500,
2001-08,64.3000,
2001-09,64.2000,
2001-10,61.7500,
2001-11,61.0000,
2001-12,60.2500,
2002-01,60.3000,
2002-02,60.3000,
2002-03,60.3000,
2002-04,60.3000,
2002-05,60.1800,
2002-06,60.3000,
2002-07,59.6500,
2002-08,59.4000,
2002-09,59.1400,
2002-10,59.0000,
2002-11,58.5500,
2002-12,58.4000,
2003-01,58.3200,
2003-02,58.2000,
2003-03,57.9500,
2003-04,57.8000,
2003-05,57.6500,
