"",BBFB1.Q.N.DE.AT.S1.S1.T.L.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.AT.S1.S1.T.L.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Portfolio investment / Net / Austria,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:42:26,
1991-01,245.882,
1991-04,205.667,
1991-07,207.639,
1991-10,334.291,
1992-01,627.464,
1992-04,-273.144,
1992-07,252.429,
1992-10,169.359,
1993-01,595.697,
1993-04,1039.622,
1993-07,-327.336,
1993-10,624.377,
1994-01,1037.021,
1994-04,-349.013,
1994-07,220.064,
1994-10,242.604,
1995-01,676.881,
1995-04,360.102,
1995-07,-868.686,
1995-10,334.735,
1996-01,1109.281,
1996-04,-410.582,
1996-07,-446.045,
1996-10,38.297,
1997-01,617.183,
1997-04,649.899,
1997-07,936.594,
1997-10,-167.229,
1998-01,631.615,
1998-04,531.001,
1998-07,519.248,
1998-10,2177.969,
1999-01,3781.343,
1999-04,1497.024,
1999-07,2347.298,
1999-10,1344.892,
2000-01,1151.476,
2000-04,1058.617,
2000-07,10.415,
2000-10,6603.706,
2001-01,-964.334,
2001-04,-80.145,
2001-07,732.633,
2001-10,-34.020,
2002-01,2263.553,
2002-04,1756.574,
2002-07,1727.897,
2002-10,582.077,
2003-01,850.244,
2003-04,891.457,
2003-07,1519.540,
2003-10,569.976,
2004-01,2259.799,
2004-04,1173.092,
2004-07,515.757,
2004-10,800.155,
2005-01,1821.942,
2005-04,597.429,
2005-07,1971.919,
2005-10,-132.671,
2006-01,1563.362,
2006-04,918.979,
2006-07,612.266,
2006-10,-549.186,
2007-01,981.552,
2007-04,1664.634,
2007-07,241.341,
2007-10,1273.662,
2008-01,506.789,
2008-04,-848.335,
2008-07,633.104,
2008-10,2511.339,
2009-01,820.422,
2009-04,-168.788,
2009-07,429.107,
2009-10,-234.905,
2010-01,374.684,
2010-04,506.202,
2010-07,13.524,
2010-10,182.889,
2011-01,468.958,
2011-04,-1188.034,
2011-07,774.241,
2011-10,-1159.497,
2012-01,214.842,
2012-04,-264.257,
2012-07,-334.184,
2012-10,580.958,
2013-01,-1651.216,
2013-04,2638.304,
2013-07,668.388,
2013-10,-1185.279,
2014-01,-573.009,Provisional value
2014-04,4124.607,Provisional value
2014-07,-2637.193,Provisional value
2014-10,1311.494,Provisional value
