"",BBK01.OEHB22N,BBK01.OEHB22N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:15,
2002-01,1.355,
2002-04,1.731,
2002-07,1.516,
2002-10,1.834,
2003-01,2.114,
2003-04,2.463,
2003-07,2.005,
2003-10,2.489,
2004-01,2.201,
2004-04,1.867,
2004-07,2.207,
2004-10,2.517,
2005-01,2.519,
2005-04,2.598,
2005-07,2.268,
2005-10,2.606,
2006-01,2.655,
2006-04,2.579,
2006-07,2.429,
2006-10,2.724,
2007-01,2.498,
2007-04,2.502,
2007-07,2.669,
2007-10,2.498,
2008-01,2.314,
2008-04,2.670,
2008-07,2.226,
2008-10,3.252,
2009-01,3.054,
2009-04,2.659,
2009-07,2.650,
2009-10,2.592,
2010-01,2.985,
2010-04,2.923,
2010-07,3.068,
2010-10,2.723,
2011-01,3.090,
2011-04,3.328,
2011-07,3.265,
2011-10,3.710,
2012-01,3.110,
2012-04,3.545,
2012-07,2.957,
2012-10,3.337,
2013-01,3.553,
2013-04,3.256,
2013-07,3.344,
2013-10,3.192,
2014-01,3.171,
2014-04,2.999,
2014-07,2.815,
