"",BBK01.OEAL04T,BBK01.OEAL04T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:13:18,
2002-01,0.863,
2002-04,0.828,
2002-07,0.810,
2002-10,0.870,
2003-01,0.890,
2003-04,0.802,
2003-07,0.827,
2003-10,0.766,
2004-01,0.801,
2004-04,0.748,
2004-07,0.734,
2004-10,0.732,
2005-01,0.780,
2005-04,0.759,
2005-07,0.762,
2005-10,0.711,
2006-01,0.774,
2006-04,0.755,
2006-07,0.809,
2006-10,0.842,
2007-01,0.919,
2007-04,0.920,
2007-07,0.963,
2007-10,0.960,
2008-01,1.078,
2008-04,1.109,
2008-07,1.097,
2008-10,1.169,
2009-01,1.204,
2009-04,0.973,
2009-07,0.838,
2009-10,0.713,
2010-01,0.636,
2010-04,0.609,
2010-07,0.557,
2010-10,0.515,
2011-01,0.525,
2011-04,0.492,
2011-07,0.479,
2011-10,0.528,
2012-01,0.544,
2012-04,0.529,
2012-07,0.540,
2012-10,0.482,
2013-01,0.400,
2013-04,0.383,
2013-07,0.353,
2013-10,0.339,
2014-01,0.339,
2014-04,0.428,
2014-07,0.354,
