"",BBK01.OELI07P,BBK01.OELI07P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:07,
2002-01,2.995,
2002-04,2.948,
2002-07,2.790,
2002-10,2.873,
2003-01,3.040,
2003-04,3.046,
2003-07,3.036,
2003-10,3.108,
2004-01,3.115,
2004-04,3.102,
2004-07,3.079,
2004-10,3.121,
2005-01,3.087,
2005-04,3.049,
2005-07,3.034,
2005-10,3.057,
2006-01,3.028,
2006-04,2.996,
2006-07,2.977,
2006-10,2.997,
2007-01,2.927,
2007-04,2.878,
2007-07,2.814,
2007-10,2.787,
2008-01,2.716,
2008-04,2.631,
2008-07,2.482,
2008-10,2.497,
2009-01,2.523,
2009-04,2.570,
2009-07,2.667,
2009-10,2.826,
2010-01,2.945,
2010-04,2.989,
2010-07,3.005,
2010-10,3.020,
2011-01,2.986,
2011-04,2.986,
2011-07,2.945,
2011-10,2.964,
2012-01,2.972,
2012-04,2.950,
2012-07,2.912,
2012-10,2.900,
2013-01,2.845,
2013-04,2.834,
2013-07,2.789,
2013-10,2.820,
2014-01,2.807,
2014-04,2.789,
2014-07,2.750,
