"",BBK01.OEAN01N,BBK01.OEAN01N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:02,
2002-01,146.448,
2002-04,143.838,
2002-07,143.590,
2002-10,148.995,
2003-01,150.539,
2003-04,150.094,
2003-07,150.388,
2003-10,153.657,
2004-01,154.014,
2004-04,153.674,
2004-07,153.824,
2004-10,120.362,
2005-01,127.565,
2005-04,126.708,
2005-07,125.807,
2005-10,126.526,
2006-01,127.249,
2006-04,126.735,
2006-07,125.209,
2006-10,124.798,
2007-01,123.112,
2007-04,120.758,
2007-07,118.795,
2007-10,119.247,
2008-01,117.568,
2008-04,115.812,
2008-07,113.102,
2008-10,117.574,
2009-01,120.541,
2009-04,123.777,
2009-07,127.793,
2009-10,131.489,
2010-01,133.372,
2010-04,133.945,
2010-07,133.988,
2010-10,136.269,
2011-01,137.016,
2011-04,135.588,
2011-07,134.249,
2011-10,133.808,
2012-01,134.039,
2012-04,133.305,
2012-07,132.963,
2012-10,133.263,
2013-01,131.987,
2013-04,131.080,
2013-07,130.363,
2013-10,130.947,
2014-01,130.555,
2014-04,129.598,
2014-07,130.253,
