"",BBK01.OEAE19T,BBK01.OEAE19T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:06:09,
2002-01,0.206,
2002-04,0.198,
2002-07,0.197,
2002-10,0.197,
2003-01,0.190,
2003-04,0.184,
2003-07,0.189,
2003-10,0.190,
2004-01,0.243,
2004-04,0.250,
2004-07,0.251,
2004-10,0.261,
2005-01,0.266,
2005-04,0.261,
2005-07,0.259,
2005-10,0.260,
2006-01,0.255,
2006-04,0.249,
2006-07,0.242,
2006-10,0.238,
2007-01,0.244,
2007-04,0.217,
2007-07,0.216,
2007-10,0.172,
2008-01,0.166,
2008-04,0.165,
2008-07,0.162,
2008-10,0.159,
2009-01,0.157,
2009-04,0.156,
2009-07,0.154,
2009-10,0.148,
2010-01,0.147,
2010-04,0.156,
2010-07,0.226,
2010-10,0.198,
2011-01,0.223,
2011-04,0.252,
2011-07,0.257,
2011-10,0.284,
2012-01,0.292,
2012-04,0.318,
2012-07,0.311,
2012-10,0.273,
2013-01,0.285,
2013-04,0.345,
2013-07,0.318,
2013-10,0.312,
2014-01,0.289,
2014-04,0.333,
2014-07,0.347,
