"",BBK01.OEHB02M,BBK01.OEHB02M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:55,
2002-01,7.632,
2002-04,7.624,
2002-07,7.716,
2002-10,7.460,
2003-01,7.686,
2003-04,7.885,
2003-07,7.683,
2003-10,7.281,
2004-01,7.200,
2004-04,7.272,
2004-07,7.200,
2004-10,6.963,
2005-01,7.219,
2005-04,7.048,
2005-07,6.992,
2005-10,6.651,
2006-01,6.952,
2006-04,7.009,
2006-07,6.816,
2006-10,6.557,
2007-01,6.725,
2007-04,6.651,
2007-07,6.402,
2007-10,6.268,
2008-01,6.482,
2008-04,6.361,
2008-07,6.650,
2008-10,6.399,
2009-01,6.644,
2009-04,6.277,
2009-07,5.962,
2009-10,5.483,
2010-01,5.812,
2010-04,5.858,
2010-07,5.671,
2010-10,5.349,
2011-01,5.655,
2011-04,5.582,
2011-07,5.345,
2011-10,5.071,
2012-01,5.319,
2012-04,5.248,
2012-07,5.510,
2012-10,5.099,
2013-01,5.193,
2013-04,5.198,
2013-07,5.248,
2013-10,5.094,
2014-01,4.985,
2014-04,5.093,
2014-07,5.127,
