"",BBK01.OEHO04O,BBK01.OEHO04O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:37,
2002-01,-0.196,
2002-04,-0.195,
2002-07,-0.157,
2002-10,-0.078,
2003-01,-0.046,
2003-04,-0.092,
2003-07,-0.177,
2003-10,-0.129,
2004-01,-0.132,
2004-04,-0.238,
2004-07,-0.164,
2004-10,-0.010,
2005-01,0.489,
2005-04,-0.219,
2005-07,-0.187,
2005-10,-0.061,
2006-01,-0.186,
2006-04,-0.232,
2006-07,-0.381,
2006-10,-0.454,
2007-01,-0.753,
2007-04,-0.606,
2007-07,-0.596,
2007-10,-0.616,
2008-01,-0.592,
2008-04,-0.532,
2008-07,-0.500,
2008-10,-0.278,
2009-01,0.456,
2009-04,0.750,
2009-07,0.588,
2009-10,0.453,
2010-01,0.342,
2010-04,0.103,
2010-07,0.095,
2010-10,-0.062,
2011-01,-0.038,
2011-04,-0.150,
2011-07,-0.235,
2011-10,-0.234,
2012-01,-0.215,
2012-04,-0.226,
2012-07,-0.180,
2012-10,-0.094,
2013-01,-0.041,
2013-04,-0.102,
2013-07,-0.121,
2013-10,0.018,
2014-01,-0.179,
2014-04,-0.160,
2014-07,-0.162,
