"",BBK01.OEYB05L,BBK01.OEYB05L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:06,
2002-01,236.367,
2002-04,233.606,
2002-07,233.448,
2002-10,231.608,
2003-01,236.051,
2003-04,235.676,
2003-07,239.251,
2003-10,239.777,
2004-01,235.830,
2004-04,233.877,
2004-07,231.935,
2004-10,232.022,
2005-01,225.460,
2005-04,218.921,
2005-07,215.989,
2005-10,198.699,
2006-01,189.329,
2006-04,180.631,
2006-07,179.429,
2006-10,175.207,
2007-01,165.452,
2007-04,160.313,
2007-07,165.668,
2007-10,166.454,
2008-01,161.869,
2008-04,155.455,
2008-07,175.010,
2008-10,172.131,
2009-01,165.609,
2009-04,161.487,
2009-07,137.739,
2009-10,132.439,
2010-01,128.390,
2010-04,125.934,
2010-07,123.505,
2010-10,120.590,
2011-01,116.072,
2011-04,111.648,
2011-07,110.741,
2011-10,105.274,
2012-01,104.773,
2012-04,102.091,
2012-07,100.650,
2012-10,97.674,
2013-01,96.398,
2013-04,94.907,
2013-07,97.190,
2013-10,95.944,
2014-01,92.933,
2014-04,90.566,
2014-07,85.853,
