"",BBK01.OEAE12G,BBK01.OEAE12G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:02:52,
2002-01,1.659,
2002-04,1.963,
2002-07,1.708,
2002-10,1.973,
2003-01,1.579,
2003-04,1.777,
2003-07,1.859,
2003-10,1.224,
2004-01,1.322,
2004-04,1.469,
2004-07,1.382,
2004-10,1.324,
2005-01,1.186,
2005-04,1.243,
2005-07,1.089,
2005-10,1.270,
2006-01,1.466,
2006-04,2.183,
2006-07,1.431,
2006-10,1.483,
2007-01,1.617,
2007-04,1.825,
2007-07,1.684,
2007-10,2.213,
2008-01,2.240,
2008-04,2.531,
2008-07,3.028,
2008-10,3.167,
2009-01,4.176,
2009-04,3.933,
2009-07,3.944,
2009-10,2.834,
2010-01,2.910,
2010-04,2.853,
2010-07,2.773,
2010-10,2.841,
2011-01,2.990,
2011-04,2.756,
2011-07,2.675,
2011-10,2.381,
2012-01,2.363,
2012-04,2.434,
2012-07,2.226,
2012-10,1.809,
2013-01,1.882,
2013-04,1.718,
2013-07,1.548,
2013-10,1.223,
2014-01,1.226,
2014-04,1.385,
2014-07,1.163,
