"",BBK01.OELI04I,BBK01.OELI04I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:44,
2002-01,1.633,
2002-04,1.856,
2002-07,2.208,
2002-10,2.047,
2003-01,2.146,
2003-04,2.145,
2003-07,1.750,
2003-10,1.805,
2004-01,1.570,
2004-04,1.470,
2004-07,1.585,
2004-10,2.227,
2005-01,1.770,
2005-04,1.474,
2005-07,1.541,
2005-10,2.035,
2006-01,1.580,
2006-04,1.586,
2006-07,1.595,
2006-10,1.610,
2007-01,1.572,
2007-04,1.695,
2007-07,1.908,
2007-10,2.287,
2008-01,2.189,
2008-04,1.962,
2008-07,2.095,
2008-10,2.139,
2009-01,2.155,
2009-04,1.763,
2009-07,1.549,
2009-10,1.197,
2010-01,0.985,
2010-04,1.049,
2010-07,0.846,
2010-10,0.927,
2011-01,1.010,
2011-04,1.077,
2011-07,0.976,
2011-10,0.985,
2012-01,1.085,
2012-04,1.056,
2012-07,0.779,
2012-10,0.652,
2013-01,0.717,
2013-04,0.643,
2013-07,0.521,
2013-10,0.400,
2014-01,0.499,
2014-04,0.584,
2014-07,0.621,
