"",BBFB1.Q.N.DE.FI.S1.S1.T.B.CA._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.FI.S1.S1.T.B.CA._Z._Z._Z._T._X.N_FLAGS
"",Current account / Balance of the Current account / Finland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:28:12,
1991-01,95.586,
1991-04,94.996,
1991-07,110.672,
1991-10,109.412,
1992-01,105.696,
1992-04,160.055,
1992-07,57.265,
1992-10,59.541,
1993-01,386.429,
1993-04,5.527,
1993-07,24.560,
1993-10,-13.919,
1994-01,-28.530,
1994-04,-18.652,
1994-07,-98.090,
1994-10,-64.701,
1995-01,15.343,
1995-04,-37.476,
1995-07,-2.768,
1995-10,81.837,
1996-01,203.628,
1996-04,323.795,
1996-07,143.104,
1996-10,170.512,
1997-01,299.144,
1997-04,286.134,
1997-07,64.920,
1997-10,113.036,
1998-01,224.690,
1998-04,287.523,
1998-07,227.506,
1998-10,377.786,
1999-01,216.647,
1999-04,331.040,
1999-07,389.171,
1999-10,379.436,
2000-01,380.471,
2000-04,504.874,
2000-07,416.492,
2000-10,-25.177,
2001-01,181.548,
2001-04,-657.067,
2001-07,146.410,
2001-10,144.948,
2002-01,27.415,
2002-04,-222.716,
2002-07,-79.409,
2002-10,-360.425,
2003-01,117.520,
2003-04,307.773,
2003-07,111.778,
2003-10,138.495,
2004-01,385.439,
2004-04,677.078,
2004-07,392.314,
2004-10,536.101,
2005-01,751.174,
2005-04,768.739,
2005-07,25.524,
2005-10,245.349,
2006-01,627.007,
2006-04,866.414,
2006-07,857.666,
2006-10,792.797,
2007-01,814.755,
2007-04,1086.934,
2007-07,845.148,
2007-10,1075.732,
2008-01,51.423,
2008-04,1324.534,
2008-07,1363.297,
2008-10,914.746,
2009-01,820.589,
2009-04,678.265,
2009-07,569.995,
2009-10,839.407,
2010-01,626.826,
2010-04,441.237,
2010-07,531.034,
2010-10,487.841,
2011-01,979.528,
2011-04,946.267,
2011-07,858.335,
2011-10,1074.525,
2012-01,1080.142,
2012-04,1084.152,
2012-07,752.981,
2012-10,1067.575,
2013-01,858.071,
2013-04,1021.640,
2013-07,892.082,
2013-10,997.266,
2014-01,941.514,Provisional value
2014-04,1028.519,Provisional value
2014-07,689.171,Provisional value
