"",BBK01.OECM02V,BBK01.OECM02V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:40:34,
2002-01,0.125,
2002-04,0.130,
2002-07,0.125,
2002-10,0.218,
2003-01,0.132,
2003-04,0.173,
2003-07,0.129,
2003-10,0.173,
2004-01,0.146,
2004-04,0.217,
2004-07,0.147,
2004-10,0.191,
2005-01,0.168,
2005-04,0.170,
2005-07,0.180,
2005-10,0.195,
2006-01,0.199,
2006-04,0.191,
2006-07,0.184,
2006-10,0.248,
2007-01,0.225,
2007-04,0.322,
2007-07,0.238,
2007-10,0.290,
2008-01,0.281,
2008-04,0.240,
2008-07,0.273,
2008-10,0.777,
2009-01,1.090,
2009-04,0.562,
2009-07,0.601,
2009-10,0.649,
2010-01,0.568,
2010-04,0.472,
2010-07,0.751,
2010-10,0.621,
2011-01,0.688,
2011-04,0.766,
2011-07,1.141,
2011-10,1.150,
2012-01,1.195,
2012-04,0.451,
2012-07,0.226,
2012-10,0.654,
2013-01,0.686,
2013-04,0.509,
2013-07,0.369,
2013-10,0.229,
2014-01,0.297,
2014-04,0.426,
2014-07,0.706,
