"",BBSF2.M.1.S.00000.TOT01.I.F.SVG.CH.00122.F03300.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.SVG.CH.00122.F03300.Z01.00_FLAGS
"",Special investors funds / Funds total / Debt securities total / Switzerland / Monetary financial institutes (MFIs),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:47:02,
2009-09,75,
2009-10,62,
2009-11,59,
2009-12,61,
2010-01,206,
2010-02,44,
2010-03,47,
2010-04,53,
2010-05,54,
2010-06,55,
2010-07,16,
2010-08,110,
2010-09,111,
2010-10,107,
2010-11,116,
2010-12,113,
2011-01,109,
2011-02,34,
2011-03,33,
2011-04,33,
2011-05,38,
2011-06,50,
2011-07,45,
2011-08,367,
2011-09,357,
2011-10,4305,
2011-11,868,
2011-12,660,
2012-01,887,
2012-02,899,
2012-03,937,
2012-04,958,
2012-05,980,
2012-06,972,
2012-07,987,
2012-08,990,
2012-09,229,
2012-10,229,
2012-11,35,
2012-12,35,
2013-01,35,
2013-02,36,
2013-03,36,
2013-04,32,
2013-05,45,
2013-06,44,
2013-07,34,
2013-08,37,
2013-09,64,
2013-10,81,
2013-11,93,
2013-12,100,
2014-01,101,
2014-02,141,
2014-03,135,
2014-04,144,
2014-05,172,
2014-06,179,
2014-07,172,
2014-08,171,
2014-09,174,
2014-10,168,
2014-11,175,
