"",BBK01.OEAH22K,BBK01.OEAH22K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:25:37,
2002-01,1.420,
2002-04,1.393,
2002-07,1.353,
2002-10,1.316,
2003-01,1.220,
2003-04,1.143,
2003-07,1.084,
2003-10,1.017,
2004-01,0.983,
2004-04,0.935,
2004-07,0.883,
2004-10,0.869,
2005-01,0.824,
2005-04,0.759,
2005-07,0.714,
2005-10,0.680,
2006-01,0.655,
2006-04,0.577,
2006-07,0.581,
2006-10,0.625,
2007-01,0.630,
2007-04,0.642,
2007-07,0.642,
2007-10,0.695,
2008-01,0.761,
2008-04,0.803,
2008-07,0.864,
2008-10,0.931,
2009-01,1.001,
2009-04,0.910,
2009-07,0.816,
2009-10,0.754,
2010-01,0.710,
2010-04,0.812,
2010-07,0.831,
2010-10,0.871,
2011-01,0.913,
2011-04,1.027,
2011-07,1.070,
2011-10,1.079,
2012-01,1.060,
2012-04,1.068,
2012-07,1.072,
2012-10,1.096,
2013-01,1.022,
2013-04,0.894,
2013-07,0.842,
2013-10,0.830,
2014-01,0.803,
2014-04,0.824,
2014-07,2.210,
