"",BBFI1.Q.N.DE.W1.S121.S1.LE.L.FA.O.F2.T._T.N.N,BBFI1.Q.N.DE.W1.S121.S1.LE.L.FA.O.F2.T._T.N.N_FLAGS
"",IIP - Other Investment - Currency and deposits - Liabilities - Positions - Central bank - all countries,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:03:00,
1999-10,6179,
2000-01,-,Nothing exists
2000-04,-,Nothing exists
2000-07,-,Nothing exists
2000-10,6592,
2001-01,-,Nothing exists
2001-04,-,Nothing exists
2001-07,-,Nothing exists
2001-10,8752,
2002-01,-,Nothing exists
2002-04,-,Nothing exists
2002-07,-,Nothing exists
2002-10,9005,
2003-01,-,Nothing exists
2003-04,-,Nothing exists
2003-07,-,Nothing exists
2003-10,10443,
2004-01,9545,
2004-04,9003,
2004-07,7625,
2004-10,7935,
2005-01,6322,
2005-04,5822,
2005-07,7580,
2005-10,6285,
2006-01,6286,
2006-04,5839,
2006-07,4980,
2006-10,4819,
2007-01,5158,
2007-04,6137,
2007-07,8013,
2007-10,16005,
2008-01,24919,
2008-04,23498,
2008-07,26756,
2008-10,30169,
2009-01,7527,
2009-04,10121,
2009-07,8641,
2009-10,9126,
2010-01,9421,
2010-04,11220,
2010-07,10995,
2010-10,14620,
2011-01,13569,
2011-04,10700,
2011-07,13809,
2011-10,46557,
2012-01,17564,
2012-04,84880,
2012-07,95757,
2012-10,106496,
2013-01,80341,
2013-04,69145,
2013-07,65950,
2013-10,57214,
2014-01,34434,
2014-04,43267,
2014-07,18051,
