"",BBK01.OEAD35I,BBK01.OEAD35I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:13,
2002-01,0.223,
2002-04,0.210,
2002-07,0.207,
2002-10,0.199,
2003-01,0.214,
2003-04,0.262,
2003-07,0.269,
2003-10,0.257,
2004-01,0.242,
2004-04,0.257,
2004-07,0.249,
2004-10,0.238,
2005-01,0.232,
2005-04,0.240,
2005-07,0.237,
2005-10,0.197,
2006-01,0.183,
2006-04,0.183,
2006-07,0.196,
2006-10,0.216,
2007-01,0.216,
2007-04,0.215,
2007-07,0.212,
2007-10,0.215,
2008-01,0.216,
2008-04,0.224,
2008-07,0.225,
2008-10,0.174,
2009-01,0.172,
2009-04,0.209,
2009-07,0.206,
2009-10,0.200,
2010-01,0.119,
2010-04,0.112,
2010-07,0.109,
2010-10,0.119,
2011-01,0.180,
2011-04,0.176,
2011-07,0.173,
2011-10,0.179,
2012-01,0.168,
2012-04,0.158,
2012-07,0.155,
2012-10,0.157,
2013-01,0.148,
2013-04,0.144,
2013-07,0.143,
2013-10,0.140,
2014-01,0.130,
2014-04,0.134,
2014-07,0.124,
