"",BBSF2.M.1.P.00000.TOT01.I.F.WPS.PL.00000.000000.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.WPS.PL.00000.000000.Z01.00_FLAGS
"",Public funds / Funds total / Securities total / Poland,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:18,
2009-09,578,
2009-10,566,
2009-11,608,
2009-12,632,
2010-01,686,
2010-02,699,
2010-03,754,
2010-04,708,
2010-05,686,
2010-06,654,
2010-07,675,
2010-08,691,
2010-09,725,
2010-10,664,
2010-11,616,
2010-12,635,
2011-01,617,
2011-02,623,
2011-03,620,
2011-04,645,
2011-05,663,
2011-06,680,
2011-07,669,
2011-08,637,
2011-09,653,
2011-10,603,
2011-11,555,
2011-12,563,
2012-01,607,
2012-02,629,
2012-03,633,
2012-04,633,
2012-05,624,
2012-06,662,
2012-07,647,
2012-08,685,
2012-09,635,
2012-10,662,
2012-11,692,
2012-12,717,
2013-01,693,
2013-02,682,
2013-03,700,
2013-04,730,
2013-05,710,
2013-06,655,
2013-07,671,
2013-08,658,
2013-09,654,
2013-10,679,
2013-11,675,
2013-12,680,
2014-01,708,
2014-02,724,
2014-03,715,
2014-04,692,
2014-05,698,
2014-06,712,
2014-07,716,
2014-08,683,
2014-09,728,
2014-10,735,
2014-11,734,
