"",BBK01.CEFI0M,BBK01.CEFI0M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:32:33,
1999-01,10.7,
1999-04,11.4,
1999-07,12.1,
1999-10,12.8,
2000-01,12.5,
2000-04,12.2,
2000-07,11.9,
2000-10,11.7,
2001-01,11.6,
2001-04,11.5,
2001-07,11.4,
2001-10,11.3,
2002-01,10.4,
2002-04,9.5,
2002-07,8.6,
2002-10,7.7,
2003-01,8.2,
2003-04,8.7,
2003-07,9.2,
2003-10,9.6,
2004-01,9.8,
2004-04,9.9,
2004-07,10.0,
2004-10,10.2,
2005-01,9.4,
2005-04,8.6,
2005-07,7.9,
2005-10,7.1,
2006-01,8.3,
2006-04,7.8,
2006-07,8.2,
2006-10,9.4,
2007-01,10.2,
2007-04,13.6,
2007-07,13.1,
2007-10,10.8,
2008-01,9.7,
2008-04,10.0,
2008-07,7.2,
2008-10,6.2,
2009-01,5.2,
2009-04,3.9,
2009-07,4.4,
2009-10,4.8,
2010-01,5.3,
2010-04,5.4,
2010-07,5.7,
2010-10,6.3,
2011-01,6.3,
2011-04,7.0,
2011-07,5.5,
2011-10,6.2,
2012-01,8.2,
2012-04,9.0,
2012-07,10.3,
2012-10,10.8,
2013-01,8.3,
2013-04,8.2,
2013-07,8.6,
2013-10,10.2,
2014-01,10.2,
2014-04,10.3,
2014-07,10.3,
