"",BBFB1.Q.N.DE.ES.S1.S1.T.C.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.ES.S1.S1.T.C.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Receipts / Spain,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:29:52,
1991-01,40.575,
1991-04,40.339,
1991-07,38.396,
1991-10,42.533,
1992-01,106.376,
1992-04,124.472,
1992-07,120.020,
1992-10,126.774,
1993-01,22.864,
1993-04,27.167,
1993-07,21.951,
1993-10,22.953,
1994-01,22.999,
1994-04,25.744,
1994-07,24.954,
1994-10,21.080,
1995-01,50.194,
1995-04,52.012,
1995-07,56.602,
1995-10,53.056,
1996-01,55.304,
1996-04,57.856,
1996-07,56.899,
1996-10,62.532,
1997-01,114.976,
1997-04,120.885,
1997-07,115.283,
1997-10,114.937,
1998-01,165.118,
1998-04,179.304,
1998-07,177.072,
1998-10,199.806,
1999-01,385.983,
1999-04,426.618,
1999-07,447.065,
1999-10,447.446,
2000-01,166.541,
2000-04,178.209,
2000-07,182.520,
2000-10,203.231,
2001-01,192.204,
2001-04,223.089,
2001-07,217.585,
2001-10,219.863,
2002-01,84.494,
2002-04,91.276,
2002-07,95.399,
2002-10,101.683,
2003-01,223.854,
2003-04,249.494,
2003-07,220.189,
2003-10,205.891,
2004-01,562.065,
2004-04,511.649,
2004-07,477.481,
2004-10,479.076,
2005-01,58.343,
2005-04,60.588,
2005-07,50.738,
2005-10,66.259,
2006-01,489.041,
2006-04,493.710,
2006-07,469.715,
2006-10,450.833,
2007-01,346.760,
2007-04,377.134,
2007-07,338.638,
2007-10,349.089,
2008-01,501.109,
2008-04,530.430,
2008-07,497.210,
2008-10,480.729,
2009-01,64.697,
2009-04,102.071,
2009-07,51.621,
2009-10,61.156,
2010-01,177.871,
2010-04,218.134,
2010-07,218.490,
2010-10,228.597,
2011-01,135.589,
2011-04,271.455,
2011-07,166.980,
2011-10,139.097,
2012-01,306.201,
2012-04,348.488,
2012-07,330.665,
2012-10,308.836,
2013-01,173.291,
2013-04,229.136,
2013-07,203.342,
2013-10,192.809,
2014-01,216.874,Provisional value
2014-04,263.755,Provisional value
2014-07,244.049,Provisional value
