"",BBFN1.M.DE.N.1.A.IT.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.IT.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from trade credits / Total / Italy,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:10:53,
1994-07,5.773,
1994-08,5.958,
1994-09,6.217,
1994-10,6.318,
1994-11,6.555,
1994-12,6.483,
1995-01,6.701,
1995-02,6.767,
1995-03,7.011,
1995-04,6.917,
1995-05,6.999,
1995-06,6.901,
1995-07,6.696,
1995-08,6.579,
1995-09,6.594,
1995-10,6.754,
1995-11,6.829,
1995-12,6.363,
1996-01,6.334,
1996-02,6.349,
1996-03,6.541,
1996-04,6.496,
1996-05,6.446,
1996-06,6.323,
1996-07,6.253,
1996-08,5.798,
1996-09,5.993,
1996-10,5.949,
1996-11,6.225,
1996-12,6.048,
1997-01,6.224,
1997-02,6.411,
1997-03,6.706,
1997-04,6.902,
1997-05,6.877,
1997-06,7.170,
1997-07,7.032,
1997-08,6.524,
1997-09,6.843,
1997-10,7.067,
1997-11,7.270,
1997-12,6.818,
1998-01,6.894,
1998-02,7.243,
1998-03,7.421,
1998-04,7.738,
1998-05,7.717,
1998-06,7.820,
1998-07,7.601,
1998-08,7.046,
1998-09,7.228,
1998-10,7.274,
1998-11,7.401,
1998-12,7.110,
1999-01,7.237,
1999-02,7.422,
1999-03,7.677,
1999-04,7.647,
1999-05,7.782,
1999-06,7.900,
1999-07,7.728,
1999-08,7.324,
1999-09,7.566,
1999-10,7.702,
1999-11,8.065,
1999-12,7.772,
2000-01,8.025,
2000-02,8.283,
2000-03,8.821,
2000-04,8.887,
2000-05,9.004,
2000-06,9.194,
2000-07,9.130,
2000-08,8.672,
2000-09,8.766,
2000-10,9.008,
2000-11,9.204,
2000-12,9.155,
2001-01,9.192,
2001-02,9.391,
2001-03,9.847,
2001-04,9.675,
2001-05,9.884,
2001-06,9.760,
2001-07,9.468,
2001-08,8.854,
2001-09,8.911,
2001-10,9.088,
2001-11,9.154,
2001-12,8.729,
2002-01,8.757,
2002-02,8.767,
2002-03,8.594,
2002-04,8.441,
2002-05,8.467,
2002-06,8.713,
2002-07,8.543,
2002-08,8.002,
2002-09,8.070,
2002-10,8.267,
2002-11,8.372,
2002-12,8.337,
2003-01,8.255,
2003-02,8.263,
2003-03,8.441,
2003-04,8.373,
2003-05,8.401,
2003-06,8.397,
2003-07,8.355,
2003-08,7.676,
2003-09,7.774,
2003-10,7.969,
2003-11,8.244,
2003-12,8.036,
2004-01,8.152,
2004-02,8.162,
2004-03,8.565,
2004-04,8.604,
2004-05,8.555,
2004-06,8.861,
2004-07,8.648,
2004-08,7.984,
2004-09,8.337,
2004-10,8.562,
2004-11,8.783,
2004-12,8.249,
2005-01,8.326,
2005-02,8.152,
2005-03,8.415,
2005-04,8.429,
2005-05,8.426,
2005-06,8.576,
2005-07,8.410,
2005-08,7.851,
2005-09,8.273,
2005-10,8.371,
2005-11,8.751,
2005-12,8.505,
2006-01,8.516,
2006-02,8.607,
2006-03,9.101,
2006-04,9.132,
2006-05,9.169,
2006-06,9.495,
2006-07,9.096,
2006-08,8.578,
2006-09,8.948,
2006-10,9.386,
2006-11,9.805,
2006-12,9.395,
2007-01,9.787,
2007-02,10.047,
2007-03,10.320,
2007-04,10.048,
2007-05,10.233,
2007-06,10.692,
2007-07,10.489,
2007-08,9.861,
2007-09,10.003,
2007-10,10.595,
2007-11,11.111,
2007-12,10.041,
2008-01,10.328,
2008-02,10.158,
2008-03,10.463,
2008-04,10.595,
2008-05,10.580,
2008-06,10.689,
2008-07,10.830,
2008-08,10.040,
2008-09,10.252,
2008-10,10.195,
2008-11,10.132,
2008-12,9.140,
2009-01,9.048,
2009-02,8.728,
2009-03,8.716,
2009-04,8.212,
2009-05,8.141,
2009-06,8.328,
2009-07,8.154,
2009-08,7.624,
2009-09,7.853,
2009-10,8.093,
2009-11,8.277,
2009-12,7.915,
2010-01,7.910,
2010-02,8.075,
2010-03,8.544,
2010-04,8.469,
2010-05,8.626,
2010-06,9.139,
2010-07,9.226,
2010-08,8.445,
2010-09,8.825,
2010-10,9.043,
2010-11,9.294,
2010-12,8.981,
2011-01,9.702,
2011-02,10.069,
2011-03,10.329,
2011-04,10.628,
2011-05,10.772,
2011-06,10.916,
2011-07,10.753,
2011-08,9.834,
2011-09,10.355,
2011-10,10.297,
2011-11,10.650,
2011-12,10.881,
2012-01,10.789,
2012-02,10.897,
2012-03,11.271,
2012-04,10.978,
2012-05,11.120,
2012-06,10.444,
2012-07,10.131,
2012-08,9.548,
2012-09,9.668,
2012-10,9.651,
2012-11,10.253,
2012-12,9.412,
2013-01,9.304,
2013-02,9.631,
2013-03,10.488,
2013-04,10.191,
2013-05,9.339,
2013-06,10.219,
2013-07,8.961,
2013-08,8.592,
2013-09,8.698,
2013-10,8.811,
2013-11,9.092,
2013-12,8.786,
2014-01,8.796,
2014-02,8.864,
2014-03,9.283,
2014-04,9.199,
2014-05,9.069,
2014-06,9.450,
2014-07,9.344,
2014-08,8.613,
2014-09,9.021,
2014-10,8.928,
2014-11,9.222,
2014-12,8.994,
