"",BBK01.OEAL01J,BBK01.OEAL01J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:12:54,
2002-01,9.009,
2002-04,8.910,
2002-07,8.807,
2002-10,9.118,
2003-01,9.113,
2003-04,9.089,
2003-07,9.060,
2003-10,9.188,
2004-01,9.264,
2004-04,9.261,
2004-07,9.691,
2004-10,9.413,
2005-01,9.986,
2005-04,10.074,
2005-07,10.138,
2005-10,10.325,
2006-01,10.480,
2006-04,10.461,
2006-07,10.362,
2006-10,10.498,
2007-01,10.543,
2007-04,10.699,
2007-07,10.699,
2007-10,11.106,
2008-01,10.921,
2008-04,10.919,
2008-07,10.845,
2008-10,11.490,
2009-01,11.568,
2009-04,11.525,
2009-07,11.378,
2009-10,11.284,
2010-01,11.206,
2010-04,11.235,
2010-07,11.112,
2010-10,11.238,
2011-01,11.219,
2011-04,11.270,
2011-07,11.258,
2011-10,11.419,
2012-01,11.479,
2012-04,11.508,
2012-07,11.473,
2012-10,11.628,
2013-01,11.557,
2013-04,11.518,
2013-07,11.522,
2013-10,11.697,
2014-01,11.411,
2014-04,11.569,
2014-07,11.026,
