"",BBFB1.Q.N.DE.U3.S1.S1.T.L.FA._T.F._Z._T._X.N,BBFB1.Q.N.DE.U3.S1.S1.T.L.FA._T.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Intra EU Extra Euro Area (EU Member States and institutions not belonging to the Euro area) changing composition,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:43:05,
1991-01,3331.297,
1991-04,2764.503,
1991-07,7559.330,
1991-10,9005.332,
1992-01,-4594.161,
1992-04,877.760,
1992-07,24749.650,
1992-10,11158.101,
1993-01,19368.393,
1993-04,20138.278,
1993-07,15742.663,
1993-10,28743.199,
1994-01,1464.308,
1994-04,-2333.042,
1994-07,3818.538,
1994-10,8940.820,
1995-01,9726.036,
1995-04,25103.724,
1995-07,14779.889,
1995-10,7204.780,
1996-01,8677.932,
1996-04,21936.668,
1996-07,6075.642,
1996-10,21536.546,
1997-01,32544.839,
1997-04,17733.882,
1997-07,26841.972,
1997-10,35005.296,
1998-01,48906.141,
1998-04,33994.384,
1998-07,38958.740,
1998-10,16651.666,
1999-01,40535.245,
1999-04,31917.255,
1999-07,41205.243,
1999-10,45564.345,
2000-01,208594.185,
2000-04,87329.763,
2000-07,66769.070,
2000-10,-71581.237,
2001-01,114934.540,
2001-04,42236.289,
2001-07,61382.463,
2001-10,12651.849,
2002-01,63805.823,
2002-04,74865.914,
2002-07,117754.592,
2002-10,80997.387,
2003-01,102784.405,
2003-04,73898.216,
2003-07,62857.033,
2003-10,64026.868,
2004-01,149397.958,
2004-04,19883.765,
2004-07,117408.879,
2004-10,76362.468,
2005-01,143680.609,
2005-04,98654.936,
2005-07,110335.749,
2005-10,46105.847,
2006-01,161004.279,
2006-04,53488.450,
2006-07,56383.425,
2006-10,49999.665,
2007-01,155202.580,
2007-04,96752.691,
2007-07,124253.432,
2007-10,59881.389,
2008-01,155289.656,
2008-04,71798.779,
2008-07,156249.720,
2008-10,32046.420,
2009-01,62556.475,
2009-04,123072.224,
2009-07,60988.036,
2009-10,82772.485,
2010-01,151301.243,
2010-04,152517.171,
2010-07,133293.690,
2010-10,115211.444,
2011-01,102995.278,
2011-04,125792.520,
2011-07,243708.494,
2011-10,58349.002,
2012-01,339362.851,
2012-04,97568.398,
2012-07,101767.026,
2012-10,11208.133,
2013-01,101879.886,
2013-04,102458.615,
2013-07,82030.648,
2013-10,73513.893,
2014-01,159556.561,Provisional value
2014-04,110994.082,Provisional value
2014-07,131607.895,Provisional value
2014-10,87193.356,Provisional value
