"",BBK01.OEAB12O,BBK01.OEAB12O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:41,
2002-01,8.491,
2002-04,8.226,
2002-07,8.819,
2002-10,8.659,
2003-01,8.696,
2003-04,8.574,
2003-07,8.593,
2003-10,11.095,
2004-01,10.919,
2004-04,11.225,
2004-07,11.497,
2004-10,12.389,
2005-01,16.907,
2005-04,17.506,
2005-07,17.563,
2005-10,17.608,
2006-01,17.408,
2006-04,17.344,
2006-07,17.257,
2006-10,17.320,
2007-01,16.859,
2007-04,17.106,
2007-07,16.822,
2007-10,16.922,
2008-01,16.966,
2008-04,17.160,
2008-07,15.798,
2008-10,15.333,
2009-01,15.685,
2009-04,15.104,
2009-07,15.191,
2009-10,16.411,
2010-01,16.285,
2010-04,16.670,
2010-07,16.794,
2010-10,16.805,
2011-01,16.417,
2011-04,16.513,
2011-07,16.375,
2011-10,16.357,
2012-01,16.658,
2012-04,16.934,
2012-07,16.699,
2012-10,16.812,
2013-01,16.818,
2013-04,16.708,
2013-07,20.087,
2013-10,21.044,
2014-01,21.706,
2014-04,21.704,
2014-07,21.528,
