"",BBK01.OEHO03J,BBK01.OEHO03J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:24,
2002-01,0.552,
2002-04,0.396,
2002-07,0.374,
2002-10,0.374,
2003-01,0.388,
2003-04,0.369,
2003-07,0.406,
2003-10,0.445,
2004-01,0.460,
2004-04,0.379,
2004-07,0.397,
2004-10,0.412,
2005-01,0.472,
2005-04,0.369,
2005-07,0.367,
2005-10,0.385,
2006-01,0.474,
2006-04,0.425,
2006-07,0.416,
2006-10,0.574,
2007-01,0.640,
2007-04,0.497,
2007-07,0.481,
2007-10,0.539,
2008-01,0.606,
2008-04,0.524,
2008-07,0.513,
2008-10,0.582,
2009-01,0.522,
2009-04,0.478,
2009-07,0.439,
2009-10,0.583,
2010-01,0.383,
2010-04,0.295,
2010-07,0.287,
2010-10,0.306,
2011-01,0.323,
2011-04,0.274,
2011-07,0.286,
2011-10,0.282,
2012-01,0.316,
2012-04,0.267,
2012-07,0.249,
2012-10,0.298,
2013-01,0.287,
2013-04,0.265,
2013-07,0.238,
2013-10,0.247,
2014-01,0.255,
2014-04,0.246,
2014-07,0.247,
