"",BBK01.OEAE33I,BBK01.OEAE33I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:31,
2002-01,2.306,
2002-04,2.265,
2002-07,2.292,
2002-10,2.269,
2003-01,2.222,
2003-04,2.237,
2003-07,2.223,
2003-10,2.077,
2004-01,2.073,
2004-04,2.053,
2004-07,2.058,
2004-10,2.003,
2005-01,2.046,
2005-04,2.126,
2005-07,2.155,
2005-10,2.140,
2006-01,1.991,
2006-04,2.087,
2006-07,2.154,
2006-10,2.113,
2007-01,2.064,
2007-04,2.039,
2007-07,2.061,
2007-10,2.011,
2008-01,2.117,
2008-04,2.155,
2008-07,2.181,
2008-10,2.196,
2009-01,2.179,
2009-04,2.455,
2009-07,2.511,
2009-10,2.303,
2010-01,2.417,
2010-04,2.405,
2010-07,2.489,
2010-10,2.462,
2011-01,2.470,
2011-04,2.409,
2011-07,2.415,
2011-10,2.380,
2012-01,2.383,
2012-04,2.419,
2012-07,2.413,
2012-10,2.421,
2013-01,2.470,
2013-04,2.482,
2013-07,2.537,
2013-10,2.554,
2014-01,2.587,
2014-04,2.735,
2014-07,2.710,
