"",BBFN1.M.DE.N.1.A.KZ.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.KZ.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from trade credits / Total / Kazakhstan,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:26:59,
1994-07,0.111,
1994-08,0.116,
1994-09,0.115,
1994-10,0.087,
1994-11,0.095,
1994-12,0.089,
1995-01,0.086,
1995-02,0.089,
1995-03,0.067,
1995-04,0.058,
1995-05,0.059,
1995-06,0.066,
1995-07,0.104,
1995-08,0.134,
1995-09,0.155,
1995-10,0.160,
1995-11,0.154,
1995-12,0.196,
1996-01,0.244,
1996-02,0.194,
1996-03,0.210,
1996-04,0.182,
1996-05,0.182,
1996-06,0.191,
1996-07,0.215,
1996-08,0.189,
1996-09,0.188,
1996-10,0.179,
1996-11,0.154,
1996-12,0.168,
1997-01,0.187,
1997-02,0.225,
1997-03,0.214,
1997-04,0.225,
1997-05,0.277,
1997-06,0.202,
1997-07,0.213,
1997-08,0.230,
1997-09,0.234,
1997-10,0.229,
1997-11,0.222,
1997-12,0.257,
1998-01,0.267,
1998-02,0.257,
1998-03,0.243,
1998-04,0.236,
1998-05,0.225,
1998-06,0.212,
1998-07,0.230,
1998-08,0.235,
1998-09,0.219,
1998-10,0.219,
1998-11,0.225,
1998-12,0.221,
1999-01,0.228,
1999-02,0.228,
1999-03,0.230,
1999-04,0.230,
1999-05,0.239,
1999-06,0.225,
1999-07,0.224,
1999-08,0.212,
1999-09,0.187,
1999-10,0.165,
1999-11,0.154,
1999-12,0.098,
2000-01,0.096,
2000-02,0.100,
2000-03,0.110,
2000-04,0.128,
2000-05,0.125,
2000-06,0.139,
2000-07,0.116,
2000-08,0.126,
2000-09,0.126,
2000-10,0.138,
2000-11,0.142,
2000-12,0.146,
2001-01,0.159,
2001-02,0.153,
2001-03,0.116,
2001-04,0.108,
2001-05,0.129,
2001-06,0.143,
2001-07,0.140,
2001-08,0.126,
2001-09,0.115,
2001-10,0.147,
2001-11,0.171,
2001-12,0.125,
2002-01,0.155,
2002-02,0.153,
2002-03,0.146,
2002-04,0.154,
2002-05,0.154,
2002-06,0.164,
2002-07,0.162,
2002-08,0.157,
2002-09,0.164,
2002-10,0.151,
2002-11,0.152,
2002-12,0.151,
2003-01,0.135,
2003-02,0.121,
2003-03,0.111,
2003-04,0.116,
2003-05,0.120,
2003-06,0.117,
2003-07,0.111,
2003-08,0.109,
2003-09,0.101,
2003-10,0.097,
2003-11,0.099,
2003-12,0.078,
2004-01,0.075,
2004-02,0.072,
2004-03,0.084,
2004-04,0.090,
2004-05,0.086,
2004-06,0.092,
2004-07,0.088,
2004-08,0.087,
2004-09,0.095,
2004-10,0.094,
2004-11,0.082,
2004-12,0.085,
2005-01,0.107,
2005-02,0.114,
2005-03,0.093,
2005-04,0.108,
2005-05,0.119,
2005-06,0.119,
2005-07,0.112,
2005-08,0.115,
2005-09,0.117,
2005-10,0.129,
2005-11,0.137,
2005-12,0.137,
2006-01,0.134,
2006-02,0.121,
2006-03,0.121,
2006-04,0.145,
2006-05,0.149,
2006-06,0.162,
2006-07,0.168,
2006-08,0.164,
2006-09,0.155,
2006-10,0.152,
2006-11,0.151,
2006-12,0.140,
2007-01,0.144,
2007-02,0.144,
2007-03,0.159,
2007-04,0.169,
2007-05,0.169,
2007-06,0.171,
2007-07,0.177,
2007-08,0.165,
2007-09,0.184,
2007-10,0.184,
2007-11,0.201,
2007-12,0.207,
2008-01,0.194,
2008-02,0.200,
2008-03,0.213,
2008-04,0.223,
2008-05,0.213,
2008-06,0.220,
2008-07,0.227,
2008-08,0.247,
2008-09,0.232,
2008-10,0.233,
2008-11,0.186,
2008-12,0.178,
2009-01,0.162,
2009-02,0.158,
2009-03,0.158,
2009-04,0.253,
2009-05,0.242,
2009-06,0.237,
2009-07,0.242,
2009-08,0.236,
2009-09,0.238,
2009-10,0.170,
2009-11,0.182,
2009-12,0.160,
2010-01,0.152,
2010-02,0.145,
2010-03,0.158,
2010-04,0.157,
2010-05,0.171,
2010-06,0.166,
2010-07,0.167,
2010-08,0.169,
2010-09,0.171,
2010-10,0.167,
2010-11,0.169,
2010-12,0.151,
2011-01,0.176,
2011-02,0.155,
2011-03,0.156,
2011-04,0.163,
2011-05,0.196,
2011-06,0.154,
2011-07,0.145,
2011-08,0.150,
2011-09,0.151,
2011-10,0.156,
2011-11,0.211,
2011-12,0.181,
2012-01,0.146,
2012-02,0.147,
2012-03,0.162,
2012-04,0.169,
2012-05,0.187,
2012-06,0.171,
2012-07,0.173,
2012-08,0.175,
2012-09,0.180,
2012-10,0.202,
2012-11,0.210,
2012-12,0.187,
2013-01,0.175,
2013-02,0.194,
2013-03,0.201,
2013-04,0.197,
2013-05,0.195,
2013-06,0.221,
2013-07,0.212,
2013-08,0.214,
2013-09,0.199,
2013-10,0.203,
2013-11,0.274,
2013-12,0.201,
2014-01,0.190,
2014-02,0.186,
2014-03,0.200,
2014-04,0.214,
2014-05,0.202,
2014-06,0.204,
2014-07,0.205,
2014-08,0.232,
2014-09,0.224,
2014-10,0.237,
2014-11,0.264,
2014-12,0.288,
