"",BBK01.OELB10O,BBK01.OELB10O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:31,
2002-01,1.344,
2002-04,1.337,
2002-07,1.324,
2002-10,1.269,
2003-01,1.299,
2003-04,1.284,
2003-07,1.251,
2003-10,1.200,
2004-01,1.213,
2004-04,1.228,
2004-07,1.194,
2004-10,1.140,
2005-01,1.170,
2005-04,1.090,
2005-07,1.072,
2005-10,1.029,
2006-01,1.025,
2006-04,1.038,
2006-07,1.016,
2006-10,0.961,
2007-01,0.948,
2007-04,0.990,
2007-07,0.984,
2007-10,0.991,
2008-01,1.015,
2008-04,0.994,
2008-07,0.989,
2008-10,0.996,
2009-01,1.062,
2009-04,1.019,
2009-07,0.999,
2009-10,0.929,
2010-01,0.958,
2010-04,0.963,
2010-07,0.942,
2010-10,0.931,
2011-01,0.921,
2011-04,0.946,
2011-07,0.944,
2011-10,0.882,
2012-01,0.924,
2012-04,0.950,
2012-07,0.951,
2012-10,0.938,
2013-01,1.021,
2013-04,0.995,
2013-07,0.976,
2013-10,0.941,
2014-01,1.034,
2014-04,1.039,
2014-07,0.973,
