"",BBK01.OEBJ03T,BBK01.OEBJ03T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:00:21,
2002-01,0.576,
2002-04,0.573,
2002-07,0.489,
2002-10,0.468,
2003-01,0.436,
2003-04,0.409,
2003-07,0.374,
2003-10,0.391,
2004-01,0.351,
2004-04,0.337,
2004-07,0.306,
2004-10,0.407,
2005-01,0.332,
2005-04,0.302,
2005-07,0.318,
2005-10,0.359,
2006-01,0.332,
2006-04,0.353,
2006-07,0.388,
2006-10,0.587,
2007-01,0.525,
2007-04,0.496,
2007-07,0.614,
2007-10,0.665,
2008-01,0.727,
2008-04,0.761,
2008-07,0.837,
2008-10,0.676,
2009-01,0.365,
2009-04,0.295,
2009-07,0.241,
2009-10,0.214,
2010-01,0.200,
2010-04,0.206,
2010-07,0.231,
2010-10,0.293,
2011-01,0.237,
2011-04,0.321,
2011-07,0.376,
2011-10,0.611,
2012-01,0.699,
2012-04,0.724,
2012-07,0.752,
2012-10,0.739,
2013-01,1.095,
2013-04,0.727,
2013-07,0.713,
2013-10,0.672,
2014-01,0.626,
2014-04,0.750,
2014-07,0.689,
