"",BBFN1.M.DE.N.1.L.S1.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.S1.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
"",Long-term liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / Countries in Asia,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:24:41,
1995-01,3.037,
1995-02,3.017,
1995-03,3.025,
1995-04,2.976,
1995-05,2.959,
1995-06,2.924,
1995-07,2.924,
1995-08,2.914,
1995-09,3.233,
1995-10,3.326,
1995-11,3.357,
1995-12,3.244,
1996-01,3.267,
1996-02,3.284,
1996-03,3.284,
1996-04,3.292,
1996-05,3.287,
1996-06,3.271,
1996-07,3.307,
1996-08,3.321,
1996-09,3.330,
1996-10,3.347,
1996-11,3.365,
1996-12,3.453,
1997-01,3.504,
1997-02,3.517,
1997-03,3.637,
1997-04,3.684,
1997-05,3.672,
1997-06,3.675,
1997-07,3.691,
1997-08,3.652,
1997-09,3.696,
1997-10,3.684,
1997-11,3.635,
1997-12,3.658,
1998-01,3.665,
1998-02,3.623,
1998-03,3.623,
1998-04,3.606,
1998-05,3.589,
1998-06,3.591,
1998-07,3.656,
1998-08,3.642,
1998-09,3.599,
1998-10,3.643,
1998-11,3.649,
1998-12,3.450,
1999-01,3.581,
1999-02,3.688,
1999-03,3.458,
1999-04,3.554,
1999-05,3.515,
1999-06,3.567,
1999-07,3.467,
1999-08,3.433,
1999-09,3.586,
1999-10,4.056,
1999-11,2.557,
1999-12,2.608,
2000-01,2.634,
2000-02,2.579,
2000-03,2.569,
2000-04,2.556,
2000-05,2.494,
2000-06,2.500,
2000-07,2.494,
2000-08,2.489,
2000-09,2.485,
2000-10,2.505,
2000-11,2.570,
2000-12,2.643,
2001-01,2.599,
2001-02,2.839,
2001-03,2.731,
2001-04,2.667,
2001-05,2.640,
2001-06,2.564,
2001-07,2.557,
2001-08,2.547,
2001-09,2.377,
2001-10,2.386,
2001-11,2.714,
2001-12,2.709,
2002-01,2.741,
2002-02,2.763,
2002-03,2.613,
2002-04,2.546,
2002-05,2.514,
2002-06,2.540,
2002-07,2.527,
2002-08,2.518,
2002-09,2.474,
2002-10,2.785,
2002-11,2.755,
2002-12,2.717,
2003-01,4.970,
2003-02,5.162,
2003-03,5.005,
2003-04,4.988,
2003-05,4.942,
2003-06,4.853,
2003-07,5.629,
2003-08,5.259,
2003-09,5.249,
2003-10,4.309,
2003-11,4.313,
2003-12,2.723,
2004-01,2.674,
2004-02,2.657,
2004-03,2.618,
2004-04,2.577,
2004-05,2.560,
2004-06,2.583,
2004-07,2.557,
2004-08,2.599,
2004-09,2.466,
2004-10,2.521,
2004-11,2.448,
2004-12,2.458,
2005-01,2.334,
2005-02,2.309,
2005-03,2.297,
2005-04,2.323,
2005-05,1.565,
2005-06,1.586,
2005-07,1.562,
2005-08,1.508,
2005-09,1.525,
2005-10,1.493,
2005-11,1.421,
2005-12,1.360,
2006-01,1.541,
2006-02,1.548,
2006-03,1.500,
2006-04,1.293,
2006-05,1.688,
2006-06,1.663,
2006-07,1.905,
2006-08,1.903,
2006-09,1.734,
2006-10,1.734,
2006-11,1.737,
2006-12,1.722,
2007-01,1.684,
2007-02,1.682,
2007-03,1.652,
2007-04,1.360,
2007-05,1.280,
2007-06,1.269,
2007-07,1.272,
2007-08,1.278,
2007-09,1.267,
2007-10,1.266,
2007-11,1.241,
2007-12,1.180,
2008-01,1.168,
2008-02,1.988,
2008-03,2.028,
2008-04,2.051,
2008-05,2.087,
2008-06,2.035,
2008-07,2.164,
2008-08,2.263,
2008-09,2.271,
2008-10,2.448,
2008-11,2.557,
2008-12,2.831,
2009-01,2.865,
2009-02,2.834,
2009-03,1.939,
2009-04,1.768,
2009-05,2.185,
2009-06,2.259,
2009-07,2.727,
2009-08,2.814,
2009-09,2.800,
2009-10,2.771,
2009-11,2.787,
2009-12,4.687,
2010-01,8.670,
2010-02,8.695,
2010-03,8.674,
2010-04,8.751,
2010-05,8.789,
2010-06,8.882,
2010-07,8.946,
2010-08,8.946,
2010-09,8.895,
2010-10,8.977,
2010-11,9.608,
2010-12,9.644,
2011-01,9.834,
2011-02,9.979,
2011-03,10.098,
2011-04,9.786,
2011-05,9.949,
2011-06,10.066,
2011-07,10.035,
2011-08,10.094,
2011-09,10.221,
2011-10,9.765,
2011-11,9.923,
2011-12,9.879,
2012-01,9.916,
2012-02,9.818,
2012-03,9.940,
2012-04,10.246,
2012-05,9.768,
2012-06,9.597,
2012-07,9.667,
2012-08,9.656,
2012-09,9.654,
2012-10,9.237,
2012-11,9.487,
2012-12,9.493,
2013-01,9.893,
2013-02,9.890,
2013-03,9.933,
2013-04,9.978,
2013-05,10.150,
2013-06,9.186,
2013-07,9.298,
2013-08,9.141,
2013-09,9.216,
2013-10,9.179,
2013-11,9.630,
2013-12,9.602,
2014-01,9.756,
2014-02,9.750,
2014-03,9.179,
2014-04,9.294,
2014-05,9.257,
2014-06,9.498,
2014-07,9.089,
2014-08,9.169,
2014-09,9.231,
2014-10,9.274,
2014-11,9.273,
2014-12,9.027,
