"",BBK01.OELL05U,BBK01.OELL05U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:10,
2002-01,0.026,
2002-04,0.029,
2002-07,0.032,
2002-10,0.036,
2003-01,0.036,
2003-04,0.038,
2003-07,0.033,
2003-10,0.036,
2004-01,0.038,
2004-04,0.041,
2004-07,0.047,
2004-10,0.069,
2005-01,0.066,
2005-04,0.065,
2005-07,0.064,
2005-10,0.076,
2006-01,0.080,
2006-04,0.080,
2006-07,0.081,
2006-10,0.074,
2007-01,0.086,
2007-04,0.083,
2007-07,0.085,
2007-10,0.087,
2008-01,0.080,
2008-04,0.082,
2008-07,0.071,
2008-10,0.057,
2009-01,0.065,
2009-04,0.064,
2009-07,0.073,
2009-10,0.076,
2010-01,0.069,
2010-04,0.076,
2010-07,0.073,
2010-10,0.076,
2011-01,0.078,
2011-04,0.070,
2011-07,0.072,
2011-10,0.073,
2012-01,0.070,
2012-04,0.072,
2012-07,0.058,
2012-10,0.049,
2013-01,0.049,
2013-04,0.044,
2013-07,0.043,
2013-10,0.044,
2014-01,0.040,
2014-04,0.035,
2014-07,0.036,
