"",BBK01.OEAH04R,BBK01.OEAH04R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:29:34,
2002-01,1.756,
2002-04,1.675,
2002-07,1.650,
2002-10,1.657,
2003-01,1.443,
2003-04,1.392,
2003-07,1.364,
2003-10,1.349,
2004-01,1.321,
2004-04,1.244,
2004-07,1.207,
2004-10,1.237,
2005-01,1.193,
2005-04,1.076,
2005-07,1.182,
2005-10,1.094,
2006-01,1.117,
2006-04,1.188,
2006-07,1.210,
2006-10,1.207,
2007-01,1.309,
2007-04,1.484,
2007-07,1.564,
2007-10,1.635,
2008-01,1.901,
2008-04,1.947,
2008-07,2.063,
2008-10,2.006,
2009-01,1.436,
2009-04,1.209,
2009-07,1.025,
2009-10,0.883,
2010-01,0.826,
2010-04,0.742,
2010-07,0.736,
2010-10,0.736,
2011-01,0.847,
2011-04,0.846,
2011-07,0.883,
2011-10,1.488,
2012-01,1.623,
2012-04,1.667,
2012-07,1.744,
2012-10,1.735,
2013-01,1.682,
2013-04,1.745,
2013-07,1.742,
2013-10,1.538,
2014-01,1.624,
2014-04,1.575,
2014-07,1.309,
