"",BBFB1.Q.N.DE.AU.S1.S1.T.B.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.AU.S1.S1.T.B.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Balance / Australia,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:34:49,
1991-01,-18.881,
1991-04,-18.205,
1991-07,-17.752,
1991-10,-18.387,
1992-01,-20.312,
1992-04,-20.652,
1992-07,-22.751,
1992-10,-23.466,
1993-01,-22.136,
1993-04,-22.421,
1993-07,-21.398,
1993-10,-20.716,
1994-01,-19.165,
1994-04,-21.988,
1994-07,-22.547,
1994-10,-22.792,
1995-01,-24.980,
1995-04,-24.892,
1995-07,-21.732,
1995-10,-23.853,
1996-01,-26.089,
1996-04,-24.241,
1996-07,-25.692,
1996-10,-23.680,
1997-01,-25.974,
1997-04,-26.690,
1997-07,-30.731,
1997-10,-26.998,
1998-01,-26.097,
1998-04,-21.359,
1998-07,-25.493,
1998-10,-26.380,
1999-01,-22.381,
1999-04,-23.928,
1999-07,-26.207,
1999-10,-35.007,
2000-01,-29.974,
2000-04,-25.801,
2000-07,-41.603,
2000-10,-28.156,
2001-01,-37.063,
2001-04,-27.449,
2001-07,-32.447,
2001-10,-26.606,
2002-01,-25.748,
2002-04,-31.904,
2002-07,-28.523,
2002-10,-25.933,
2003-01,-31.997,
2003-04,-23.855,
2003-07,-28.949,
2003-10,-29.606,
2004-01,-31.316,
2004-04,-28.389,
2004-07,-37.961,
2004-10,-31.514,
2005-01,-36.282,
2005-04,-26.406,
2005-07,-34.782,
2005-10,-34.318,
2006-01,-44.863,
2006-04,-33.266,
2006-07,-34.476,
2006-10,-21.856,
2007-01,-19.713,
2007-04,-21.523,
2007-07,-30.480,
2007-10,-29.875,
2008-01,-26.007,
2008-04,-24.626,
2008-07,-30.790,
2008-10,-30.992,
2009-01,-31.837,
2009-04,3.957,
2009-07,-44.969,
2009-10,-48.191,
2010-01,-24.642,
2010-04,-91.305,
2010-07,-49.827,
2010-10,-28.131,
2011-01,-48.863,
2011-04,-25.607,
2011-07,-19.069,
2011-10,-22.995,
2012-01,-24.515,
2012-04,-16.112,
2012-07,-22.586,
2012-10,-23.656,
2013-01,-17.522,
2013-04,-15.842,
2013-07,-29.798,
2013-10,-6.899,
2014-01,-18.826,Provisional value
2014-04,-3.472,Provisional value
2014-07,-9.140,Provisional value
