"",BBK01.OECB05S,BBK01.OECB05S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:38:51,
2002-01,3.670,
2002-04,3.607,
2002-07,3.585,
2002-10,3.263,
2003-01,3.084,
2003-04,3.071,
2003-07,3.016,
2003-10,2.973,
2004-01,2.916,
2004-04,2.840,
2004-07,2.817,
2004-10,2.670,
2005-01,3.867,
2005-04,3.874,
2005-07,3.907,
2005-10,3.835,
2006-01,3.896,
2006-04,3.928,
2006-07,3.981,
2006-10,3.949,
2007-01,3.932,
2007-04,4.025,
2007-07,3.994,
2007-10,4.009,
2008-01,4.040,
2008-04,4.120,
2008-07,4.135,
2008-10,4.081,
2009-01,4.066,
2009-04,4.687,
2009-07,4.646,
2009-10,4.687,
2010-01,4.697,
2010-04,4.700,
2010-07,4.645,
2010-10,4.576,
2011-01,4.642,
2011-04,4.660,
2011-07,4.633,
2011-10,4.652,
2012-01,4.676,
2012-04,4.676,
2012-07,4.688,
2012-10,4.657,
2013-01,4.704,
2013-04,4.733,
2013-07,4.743,
2013-10,4.737,
2014-01,4.712,
2014-04,4.761,
2014-07,4.791,
