"",BBK01.OEXB01M,BBK01.OEXB01M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:45,
2002-01,28.741,
2002-04,29.062,
2002-07,29.125,
2002-10,29.512,
2003-01,29.848,
2003-04,30.374,
2003-07,30.359,
2003-10,30.360,
2004-01,30.493,
2004-04,31.159,
2004-07,31.414,
2004-10,29.555,
2005-01,29.765,
2005-04,29.993,
2005-07,29.364,
2005-10,29.953,
2006-01,30.533,
2006-04,30.943,
2006-07,31.476,
2006-10,30.464,
2007-01,30.964,
2007-04,30.556,
2007-07,30.709,
2007-10,31.765,
2008-01,31.690,
2008-04,32.083,
2008-07,30.671,
2008-10,33.538,
2009-01,34.269,
2009-04,35.352,
2009-07,34.585,
2009-10,35.081,
2010-01,35.520,
2010-04,35.054,
2010-07,35.956,
2010-10,36.713,
2011-01,37.138,
2011-04,37.319,
2011-07,37.500,
2011-10,37.785,
2012-01,38.758,
2012-04,39.860,
2012-07,40.679,
2012-10,40.900,
2013-01,41.181,
2013-04,41.997,
2013-07,41.935,
2013-10,41.539,
2014-01,42.211,
2014-04,41.953,
2014-07,43.148,
