"",BBK01.OEAC44T,BBK01.OEAC44T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:54:17,
2002-01,0.201,
2002-04,0.199,
2002-07,0.193,
2002-10,0.194,
2003-01,0.174,
2003-04,0.172,
2003-07,0.172,
2003-10,0.168,
2004-01,0.160,
2004-04,0.158,
2004-07,0.153,
2004-10,0.150,
2005-01,0.143,
2005-04,0.144,
2005-07,0.140,
2005-10,0.139,
2006-01,0.136,
2006-04,0.135,
2006-07,0.133,
2006-10,0.127,
2007-01,0.126,
2007-04,0.127,
2007-07,0.131,
2007-10,0.117,
2008-01,0.115,
2008-04,0.113,
2008-07,0.108,
2008-10,0.103,
2009-01,0.099,
2009-04,0.100,
2009-07,0.099,
2009-10,0.099,
2010-01,0.102,
2010-04,0.097,
2010-07,0.101,
2010-10,0.086,
2011-01,0.101,
2011-04,0.100,
2011-07,0.102,
2011-10,0.102,
2012-01,0.105,
2012-04,0.119,
2012-07,0.120,
2012-10,0.122,
2013-01,0.122,
2013-04,0.126,
2013-07,0.133,
2013-10,0.128,
2014-01,0.127,
2014-04,0.136,
2014-07,0.135,
