"",BBSF2.M.1.T.00000.IMM01.I.F.GSS.U2.00000.000000.Z01.00,BBSF2.M.1.T.00000.IMM01.I.F.GSS.U2.00000.000000.Z01.00_FLAGS
"",Funds total / Real estate funds / Properties / Euro area (changing composition),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:54:42,
2009-09,74328,
2009-10,74639,
2009-11,74922,
2009-12,75996,
2010-01,76364,
2010-02,76623,
2010-03,76892,
2010-04,76973,
2010-05,77077,
2010-06,77067,
2010-07,77208,
2010-08,77436,
2010-09,77330,
2010-10,77690,
2010-11,77782,
2010-12,77697,
2011-01,77967,
2011-02,78188,
2011-03,78142,
2011-04,78537,
2011-05,78464,
2011-06,78842,
2011-07,79256,
2011-08,79490,
2011-09,79517,
2011-10,79439,
2011-11,79694,
2011-12,79081,
2012-01,79191,
2012-02,79080,
2012-03,79551,
2012-04,79058,
2012-05,78747,
2012-06,79007,
2012-07,79406,
2012-08,79637,
2012-09,79643,
2012-10,79935,
2012-11,79877,
2012-12,80541,
2013-01,80971,
2013-02,81006,
2013-03,80615,
2013-04,80564,
2013-05,80637,
2013-06,80320,
2013-07,80159,
2013-08,80272,
2013-09,79641,
2013-10,79715,
2013-11,80388,
2013-12,81431,
2014-01,82007,
2014-02,81885,
2014-03,82436,
2014-04,83562,
2014-05,83407,
2014-06,83504,
2014-07,83891,
2014-08,84044,
2014-09,84048,
2014-10,83487,
2014-11,83803,
