"",BBNZ1.Q.DE.N.H.0158.A,BBNZ1.Q.DE.N.H.0158.A_FLAGS
"",Germany / National accounts / Use of GDP / Other investment / Chain-linked index,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-24 08:20:40,
1991-01,58.91,
1991-04,60.08,
1991-07,62.27,
1991-10,66.21,
1992-01,60.48,
1992-04,61.66,
1992-07,62.79,
1992-10,65.55,
1993-01,60.70,
1993-04,62.08,
1993-07,62.51,
1993-10,65.10,
1994-01,61.01,
1994-04,61.83,
1994-07,62.66,
1994-10,66.03,
1995-01,62.04,
1995-04,63.36,
1995-07,64.79,
1995-10,68.11,
1996-01,64.44,
1996-04,65.95,
1996-07,66.79,
1996-10,69.72,
1997-01,66.30,
1997-04,66.82,
1997-07,67.48,
1997-10,71.04,
1998-01,69.31,
1998-04,71.00,
1998-07,72.51,
1998-10,77.55,
1999-01,75.77,
1999-04,78.63,
1999-07,79.91,
1999-10,84.32,
2000-01,80.57,
2000-04,81.09,
2000-07,82.19,
2000-10,88.29,
2001-01,84.82,
2001-04,86.44,
2001-07,87.20,
2001-10,91.39,
2002-01,86.49,
2002-04,87.03,
2002-07,87.19,
2002-10,90.96,
2003-01,85.82,
2003-04,85.96,
2003-07,86.18,
2003-10,89.99,
2004-01,86.66,
2004-04,87.28,
2004-07,88.07,
2004-10,91.45,
2005-01,86.71,
2005-04,87.77,
2005-07,88.31,
2005-10,92.52,
2006-01,89.50,
2006-04,90.77,
2006-07,91.68,
2006-10,97.37,
2007-01,92.16,
2007-04,94.24,
2007-07,95.56,
2007-10,101.31,
2008-01,93.99,
2008-04,96.43,
2008-07,97.82,
2008-10,104.32,
2009-01,94.93,
2009-04,97.06,
2009-07,98.77,
2009-10,104.87,
2010-01,96.26,
2010-04,97.51,
2010-07,99.13,
2010-10,107.09,
2011-01,102.09,
2011-04,105.66,
2011-07,106.84,
2011-10,112.51,
2012-01,102.64,
2012-04,105.32,
2012-07,107.02,
2012-10,112.55,
2013-01,104.71,
2013-04,106.64,
2013-07,107.78,
2013-10,113.81,
2014-01,105.99,
2014-04,107.94,
2014-07,109.07,
2014-10,115.13,
