"",BBK01.OEAF32I,BBK01.OEAF32I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:07:41,
2002-01,17.930,
2002-04,17.935,
2002-07,17.463,
2002-10,17.403,
2003-01,17.492,
2003-04,17.697,
2003-07,17.762,
2003-10,17.565,
2004-01,17.690,
2004-04,17.810,
2004-07,18.785,
2004-10,18.794,
2005-01,20.077,
2005-04,20.246,
2005-07,20.776,
2005-10,21.508,
2006-01,21.769,
2006-04,21.966,
2006-07,22.748,
2006-10,22.753,
2007-01,23.995,
2007-04,24.403,
2007-07,24.992,
2007-10,25.061,
2008-01,26.331,
2008-04,28.072,
2008-07,29.118,
2008-10,31.017,
2009-01,31.367,
2009-04,33.083,
2009-07,32.973,
2009-10,33.192,
2010-01,32.874,
2010-04,32.747,
2010-07,31.923,
2010-10,31.352,
2011-01,31.128,
2011-04,30.745,
2011-07,30.501,
2011-10,29.802,
2012-01,29.511,
2012-04,29.401,
2012-07,28.954,
2012-10,28.616,
2013-01,28.193,
2013-04,27.971,
2013-07,27.687,
2013-10,27.497,
2014-01,27.101,
2014-04,27.166,
2014-07,27.187,
