"",BBK01.OEXI09P,BBK01.OEXI09P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:23,
2002-01,0.087,
2002-04,0.077,
2002-07,0.081,
2002-10,0.078,
2003-01,0.071,
2003-04,0.067,
2003-07,0.062,
2003-10,0.060,
2004-01,0.059,
2004-04,0.055,
2004-07,0.049,
2004-10,0.051,
2005-01,0.058,
2005-04,0.057,
2005-07,0.059,
2005-10,0.062,
2006-01,0.058,
2006-04,0.058,
2006-07,0.046,
2006-10,0.049,
2007-01,0.083,
2007-04,0.104,
2007-07,0.120,
2007-10,0.150,
2008-01,0.165,
2008-04,0.165,
2008-07,0.171,
2008-10,0.260,
2009-01,0.254,
2009-04,0.244,
2009-07,0.239,
2009-10,0.181,
2010-01,0.137,
2010-04,0.141,
2010-07,0.133,
2010-10,0.165,
2011-01,0.198,
2011-04,0.209,
2011-07,0.212,
2011-10,0.201,
2012-01,0.178,
2012-04,0.172,
2012-07,0.158,
2012-10,0.129,
2013-01,0.099,
2013-04,0.080,
2013-07,0.072,
2013-10,0.065,
2014-01,0.060,
2014-04,0.057,
2014-07,0.106,
