"",BBK01.OEAD07N,BBK01.OEAD07N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:25,
2002-01,3.448,
2002-04,3.407,
2002-07,3.449,
2002-10,3.266,
2003-01,3.146,
2003-04,3.325,
2003-07,3.205,
2003-10,3.020,
2004-01,2.880,
2004-04,2.864,
2004-07,2.633,
2004-10,2.246,
2005-01,2.288,
2005-04,2.197,
2005-07,2.287,
2005-10,2.165,
2006-01,2.205,
2006-04,2.292,
2006-07,2.304,
2006-10,2.225,
2007-01,2.346,
2007-04,2.441,
2007-07,2.512,
2007-10,2.471,
2008-01,2.335,
2008-04,2.284,
2008-07,2.361,
2008-10,2.426,
2009-01,2.256,
2009-04,2.275,
2009-07,2.210,
2009-10,1.999,
2010-01,2.168,
2010-04,2.291,
2010-07,2.218,
2010-10,2.103,
2011-01,2.156,
2011-04,2.328,
2011-07,2.339,
2011-10,2.187,
2012-01,2.192,
2012-04,2.214,
2012-07,2.221,
2012-10,2.096,
2013-01,2.139,
2013-04,2.179,
2013-07,2.130,
2013-10,2.058,
2014-01,2.156,
2014-04,2.124,
2014-07,1.984,
