"",BBK01.OEYJ03L,BBK01.OEYJ03L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:05:43,
2002-01,67.149,
2002-04,66.538,
2002-07,66.405,
2002-10,66.779,
2003-01,66.658,
2003-04,66.186,
2003-07,68.264,
2003-10,68.361,
2004-01,68.095,
2004-04,68.869,
2004-07,69.405,
2004-10,69.255,
2005-01,69.364,
2005-04,69.320,
2005-07,69.988,
2005-10,65.974,
2006-01,66.494,
2006-04,65.614,
2006-07,64.745,
2006-10,62.276,
2007-01,60.569,
2007-04,60.128,
2007-07,59.562,
2007-10,59.361,
2008-01,59.079,
2008-04,59.045,
2008-07,67.658,
2008-10,68.069,
2009-01,68.642,
2009-04,66.128,
2009-07,56.302,
2009-10,55.015,
2010-01,54.174,
2010-04,54.494,
2010-07,54.031,
2010-10,53.296,
2011-01,53.110,
2011-04,52.624,
2011-07,52.397,
2011-10,49.808,
2012-01,48.261,
2012-04,45.901,
2012-07,44.049,
2012-10,41.559,
2013-01,40.040,
2013-04,39.694,
2013-07,39.469,
2013-10,38.539,
2014-01,38.050,
2014-04,36.737,
2014-07,35.485,
