"",BBFN1.M.DE.N.1.A.JP.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.JP.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
"",Short-term claims of enterprises on non-residents arising from financial operations / Total / Japan,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:26:40,
1972-12,0.061,
1973-01,.,No value available
1973-02,.,No value available
1973-03,.,No value available
1973-04,.,No value available
1973-05,.,No value available
1973-06,.,No value available
1973-07,.,No value available
1973-08,.,No value available
1973-09,.,No value available
1973-10,.,No value available
1973-11,.,No value available
1973-12,0.023,
1974-01,.,No value available
1974-02,.,No value available
1974-03,.,No value available
1974-04,.,No value available
1974-05,.,No value available
1974-06,.,No value available
1974-07,.,No value available
1974-08,.,No value available
1974-09,.,No value available
1974-10,.,No value available
1974-11,.,No value available
1974-12,0.039,
1975-01,.,No value available
1975-02,.,No value available
1975-03,.,No value available
1975-04,.,No value available
1975-05,.,No value available
1975-06,.,No value available
1975-07,.,No value available
1975-08,.,No value available
1975-09,.,No value available
1975-10,.,No value available
1975-11,.,No value available
1975-12,0.028,
1976-01,0.027,
1976-02,0.030,
1976-03,0.027,
1976-04,0.031,
1976-05,0.034,
1976-06,0.040,
1976-07,0.039,
1976-08,0.047,
1976-09,0.054,
1976-10,0.044,
1976-11,0.042,
1976-12,0.060,
1977-01,0.057,
1977-02,0.059,
1977-03,0.030,
1977-04,0.029,
1977-05,0.026,
1977-06,0.024,
1977-07,0.023,
1977-08,0.024,
1977-09,0.038,
1977-10,0.035,
1977-11,0.037,
1977-12,0.033,
1978-01,0.035,
1978-02,0.037,
1978-03,0.037,
1978-04,0.039,
1978-05,0.019,
1978-06,0.021,
1978-07,0.020,
1978-08,0.026,
1978-09,0.028,
1978-10,0.029,
1978-11,0.028,
1978-12,0.029,
1979-01,0.030,
1979-02,0.028,
1979-03,0.030,
1979-04,0.034,
1979-05,0.034,
1979-06,0.032,
1979-07,0.038,
1979-08,0.025,
1979-09,0.023,
1979-10,0.022,
1979-11,0.019,
1979-12,0.021,
1980-01,0.022,
1980-02,0.024,
1980-03,0.024,
1980-04,0.024,
1980-05,0.027,
1980-06,0.025,
1980-07,0.028,
1980-08,0.024,
1980-09,0.032,
1980-10,0.034,
1980-11,0.028,
1980-12,0.026,
1981-01,0.027,
1981-02,0.038,
1981-03,0.037,
1981-04,0.034,
1981-05,0.034,
1981-06,0.031,
1981-07,0.026,
1981-08,0.042,
1981-09,0.038,
1981-10,0.038,
1981-11,0.032,
1981-12,0.032,
1982-01,0.063,
1982-02,0.040,
1982-03,0.033,
1982-04,0.045,
1982-05,0.036,
1982-06,0.041,
1982-07,0.039,
1982-08,0.037,
1982-09,0.037,
1982-10,0.035,
1982-11,0.035,
1982-12,0.038,
1983-01,0.029,
1983-02,0.034,
1983-03,0.033,
1983-04,0.030,
1983-05,0.031,
1983-06,0.048,
1983-07,0.029,
1983-08,0.027,
1983-09,0.045,
1983-10,0.044,
1983-11,0.038,
1983-12,0.033,
1984-01,0.029,
1984-02,0.026,
1984-03,0.039,
1984-04,0.038,
1984-05,0.036,
1984-06,0.037,
1984-07,0.038,
1984-08,0.035,
1984-09,0.032,
1984-10,0.037,
1984-11,0.038,
1984-12,0.043,
1985-01,0.031,
1985-02,0.037,
1985-03,0.043,
1985-04,0.035,
1985-05,0.033,
1985-06,0.030,
1985-07,0.038,
1985-08,0.035,
1985-09,0.049,
1985-10,0.054,
1985-11,0.053,
1985-12,0.036,
1986-01,0.043,
1986-02,0.046,
1986-03,0.050,
1986-04,0.049,
1986-05,0.043,
1986-06,0.042,
1986-07,0.064,
1986-08,0.043,
1986-09,0.046,
1986-10,0.054,
1986-11,0.056,
1986-12,0.049,
1987-01,0.048,
1987-02,0.053,
1987-03,0.057,
1987-04,0.054,
1987-05,0.055,
1987-06,0.053,
1987-07,0.060,
1987-08,0.070,
1987-09,0.095,
1987-10,0.143,
1987-11,0.163,
1987-12,0.117,
1988-01,0.148,
1988-02,0.155,
1988-03,0.250,
1988-04,0.310,
1988-05,0.360,
1988-06,0.411,
1988-07,0.583,
1988-08,0.512,
1988-09,0.618,
1988-10,0.675,
1988-11,0.538,
1988-12,0.389,
1989-01,0.480,
1989-02,0.438,
1989-03,0.757,
1989-04,0.697,
1989-05,0.734,
1989-06,0.919,
1989-07,0.904,
1989-08,0.957,
1989-09,0.877,
1989-10,1.180,
1989-11,1.012,
1989-12,0.840,
1990-01,0.679,
1990-02,0.687,
1990-03,0.726,
1990-04,0.568,
1990-05,0.631,
1990-06,0.678,
1990-07,0.762,
1990-08,0.741,
1990-09,0.486,
1990-10,0.352,
1990-11,0.254,
1990-12,0.338,
1991-01,0.346,
1991-02,0.450,
1991-03,0.439,
1991-04,0.453,
1991-05,0.464,
1991-06,0.326,
1991-07,0.493,
1991-08,0.606,
1991-09,0.468,
1991-10,0.511,
1991-11,0.471,
1991-12,0.454,
1992-01,0.483,
1992-02,0.515,
1992-03,1.011,
1992-04,1.265,
1992-05,1.360,
1992-06,1.459,
1992-07,1.442,
1992-08,1.174,
1992-09,0.837,
1992-10,0.919,
1992-11,0.943,
1992-12,0.904,
1993-01,1.871,
1993-02,1.641,
1993-03,1.896,
1993-04,1.983,
1993-05,1.606,
1993-06,1.251,
1993-07,1.423,
1993-08,1.440,
1993-09,1.118,
1993-10,1.117,
1993-11,1.222,
1993-12,0.792,
1994-01,1.324,
1994-02,0.957,
1994-03,1.038,
1994-04,1.159,
1994-05,1.109,
1994-06,0.998,
1994-07,1.396,
1994-08,1.348,
1994-09,0.947,
1994-10,1.344,
1994-11,0.851,
1994-12,0.616,
1995-01,0.599,
1995-02,0.736,
1995-03,0.647,
1995-04,0.732,
1995-05,0.572,
1995-06,0.837,
1995-07,1.234,
1995-08,1.024,
1995-09,0.868,
1995-10,1.161,
1995-11,0.935,
1995-12,0.763,
1996-01,1.371,
1996-02,1.375,
1996-03,1.416,
1996-04,1.638,
1996-05,1.733,
1996-06,1.637,
1996-07,1.995,
1996-08,2.127,
1996-09,2.192,
1996-10,2.412,
1996-11,1.906,
1996-12,1.507,
1997-01,2.081,
1997-02,2.337,
1997-03,2.084,
1997-04,1.688,
1997-05,1.635,
1997-06,1.356,
1997-07,1.423,
1997-08,1.365,
1997-09,1.072,
1997-10,1.294,
1997-11,1.138,
1997-12,1.142,
1998-01,1.167,
1998-02,1.158,
1998-03,1.169,
1998-04,1.074,
1998-05,0.969,
1998-06,0.937,
1998-07,0.909,
1998-08,1.024,
1998-09,1.084,
1998-10,1.478,
1998-11,1.499,
1998-12,1.093,
1999-01,1.251,
1999-02,1.203,
1999-03,1.384,
1999-04,1.127,
1999-05,0.951,
1999-06,1.237,
1999-07,1.245,
1999-08,1.505,
1999-09,0.844,
1999-10,1.011,
1999-11,1.069,
1999-12,0.980,
2000-01,1.125,
2000-02,1.246,
2000-03,1.316,
2000-04,1.544,
2000-05,1.267,
2000-06,1.258,
2000-07,1.070,
2000-08,1.050,
2000-09,1.141,
2000-10,1.242,
2000-11,1.102,
2000-12,0.981,
2001-01,1.049,
2001-02,1.032,
2001-03,1.344,
2001-04,2.087,
2001-05,2.017,
2001-06,2.016,
2001-07,1.889,
2001-08,1.441,
2001-09,1.414,
2001-10,1.740,
2001-11,1.190,
2001-12,1.196,
2002-01,1.196,
2002-02,1.185,
2002-03,1.105,
2002-04,1.258,
2002-05,1.278,
2002-06,1.289,
2002-07,1.330,
2002-08,1.267,
2002-09,1.338,
2002-10,1.485,
2002-11,1.338,
2002-12,1.367,
2003-01,1.466,
2003-02,1.364,
2003-03,1.586,
2003-04,1.370,
2003-05,1.425,
2003-06,1.327,
2003-07,1.323,
2003-08,1.139,
2003-09,1.304,
2003-10,1.254,
2003-11,1.234,
2003-12,1.363,
2004-01,1.339,
2004-02,1.511,
2004-03,1.537,
2004-04,1.465,
2004-05,1.586,
2004-06,1.560,
2004-07,1.481,
2004-08,1.610,
2004-09,1.521,
2004-10,1.552,
2004-11,1.500,
2004-12,1.670,
2005-01,1.402,
2005-02,1.366,
2005-03,1.407,
2005-04,1.541,
2005-05,1.714,
2005-06,1.989,
2005-07,2.019,
2005-08,2.082,
2005-09,2.121,
2005-10,1.670,
2005-11,2.157,
2005-12,2.105,
2006-01,2.979,
2006-02,3.120,
2006-03,2.001,
2006-04,1.946,
2006-05,1.970,
2006-06,1.842,
2006-07,1.783,
2006-08,1.600,
2006-09,1.733,
2006-10,1.771,
2006-11,1.733,
2006-12,1.623,
2007-01,2.119,
2007-02,1.785,
2007-03,1.814,
2007-04,1.689,
2007-05,1.605,
2007-06,1.454,
2007-07,1.462,
2007-08,1.806,
2007-09,1.720,
2007-10,1.927,
2007-11,1.888,
2007-12,1.786,
2008-01,1.768,
2008-02,1.704,
2008-03,1.788,
2008-04,1.876,
2008-05,1.827,
2008-06,2.214,
2008-07,2.032,
2008-08,2.762,
2008-09,2.073,
2008-10,2.373,
2008-11,2.634,
2008-12,2.936,
2009-01,2.262,
2009-02,2.021,
2009-03,2.494,
2009-04,2.147,
2009-05,1.982,
2009-06,2.058,
2009-07,1.833,
2009-08,1.754,
2009-09,1.914,
2009-10,1.776,
2009-11,1.813,
2009-12,1.933,
2010-01,1.883,
2010-02,1.722,
2010-03,1.828,
2010-04,2.125,
2010-05,2.389,
2010-06,2.366,
2010-07,2.317,
2010-08,2.314,
2010-09,2.264,
2010-10,2.076,
2010-11,2.080,
2010-12,1.867,
2011-01,1.978,
2011-02,1.890,
2011-03,1.881,
2011-04,1.658,
2011-05,1.895,
2011-06,1.944,
2011-07,2.181,
2011-08,2.216,
2011-09,1.985,
2011-10,2.244,
2011-11,2.293,
2011-12,2.387,
2012-01,2.252,
2012-02,2.072,
2012-03,2.042,
2012-04,2.172,
2012-05,1.915,
2012-06,1.989,
2012-07,1.695,
2012-08,1.508,
2012-09,1.494,
2012-10,1.517,
2012-11,1.317,
2012-12,1.330,
2013-01,1.311,
2013-02,1.353,
2013-03,1.461,
2013-04,1.370,
2013-05,1.226,
2013-06,1.271,
2013-07,1.125,
2013-08,1.114,
2013-09,1.424,
2013-10,1.149,
2013-11,1.247,
2013-12,1.240,
2014-01,1.316,
2014-02,1.342,
2014-03,1.324,
2014-04,1.286,
2014-05,1.247,
2014-06,1.332,
2014-07,1.407,
2014-08,1.272,
2014-09,1.194,
2014-10,1.110,
2014-11,0.993,
2014-12,1.043,
