"",BBK01.OELO03J,BBK01.OELO03J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:26,
2002-01,0.107,
2002-04,0.107,
2002-07,0.074,
2002-10,0.087,
2003-01,0.178,
2003-04,0.109,
2003-07,0.094,
2003-10,0.084,
2004-01,0.094,
2004-04,0.078,
2004-07,0.080,
2004-10,0.083,
2005-01,0.135,
2005-04,0.090,
2005-07,0.075,
2005-10,0.080,
2006-01,0.101,
2006-04,0.080,
2006-07,0.094,
2006-10,0.095,
2007-01,0.119,
2007-04,0.094,
2007-07,0.105,
2007-10,0.073,
2008-01,0.114,
2008-04,0.113,
2008-07,0.097,
2008-10,0.084,
2009-01,0.125,
2009-04,0.069,
2009-07,0.138,
2009-10,0.073,
2010-01,0.062,
2010-04,0.043,
2010-07,0.077,
2010-10,0.067,
2011-01,0.061,
2011-04,0.050,
2011-07,0.063,
2011-10,0.065,
2012-01,0.070,
2012-04,0.060,
2012-07,0.101,
2012-10,0.071,
2013-01,0.069,
2013-04,0.054,
2013-07,0.064,
2013-10,0.066,
2014-01,0.269,
2014-04,0.043,
2014-07,0.044,
