"",BBDE1.Q.DE.Y.LCA1.P2XO00100.A.L.I08.A,BBDE1.Q.DE.Y.LCA1.P2XO00100.A.L.I08.A_FLAGS
"",Index of labour costs / Germany / Section O-S - Non-market service activities / Calendar and seasonally adjusted,
unit,2008=100 (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-09 08:05:06,
1996-01,85.3,
1996-04,84.5,
1996-07,84.9,
1996-10,86.2,
1997-01,86.9,
1997-04,87.3,
1997-07,86.3,
1997-10,88.0,
1998-01,87.9,
1998-04,88.9,
1998-07,89.3,
1998-10,89.6,
1999-01,89.6,
1999-04,91.6,
1999-07,92.0,
1999-10,92.0,
2000-01,91.9,
2000-04,91.9,
2000-07,94.5,
2000-10,94.1,
2001-01,94.4,
2001-04,94.1,
2001-07,94.7,
2001-10,96.2,
2002-01,96.7,
2002-04,96.5,
2002-07,96.4,
2002-10,97.8,
2003-01,97.8,
2003-04,97.4,
2003-07,99.3,
2003-10,98.4,
2004-01,98.3,
2004-04,98.9,
2004-07,99.1,
2004-10,98.5,
2005-01,98.1,
2005-04,98.4,
2005-07,97.5,
2005-10,97.3,
2006-01,97.5,
2006-04,97.5,
2006-07,97.4,
2006-10,98.1,
2007-01,97.4,
2007-04,97.3,
2007-07,98.0,
2007-10,98.6,
2008-01,99.8,
2008-04,99.4,
2008-07,100.4,
2008-10,100.5,
2009-01,104.0,
2009-04,104.6,
2009-07,104.7,
2009-10,103.5,
2010-01,105.2,
2010-04,105.0,
2010-07,105.2,
2010-10,104.6,
2011-01,107.0,
2011-04,107.9,
2011-07,108.3,
2011-10,107.8,
2012-01,109.2,
2012-04,110.0,
2012-07,111.2,
2012-10,112.8,
2013-01,113.4,
2013-04,113.9,
2013-07,113.3,
2013-10,114.5,
2014-01,114.2,
2014-04,115.2,
2014-07,116.4,
