"",BBK01.OEAH76V,BBK01.OEAH76V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:32:12,
2002-01,0.018,
2002-04,0.018,
2002-07,0.016,
2002-10,0.023,
2003-01,0.030,
2003-04,0.030,
2003-07,0.031,
2003-10,0.027,
2004-01,0.027,
2004-04,0.024,
2004-07,0.016,
2004-10,0.023,
2005-01,0.013,
2005-04,0.012,
2005-07,0.008,
2005-10,0.007,
2006-01,0.006,
2006-04,0.005,
2006-07,0.009,
2006-10,0.007,
2007-01,0.012,
2007-04,0.016,
2007-07,0.013,
2007-10,0.032,
2008-01,0.063,
2008-04,0.085,
2008-07,0.105,
2008-10,0.089,
2009-01,0.059,
2009-04,0.053,
2009-07,0.063,
2009-10,0.050,
2010-01,0.052,
2010-04,0.048,
2010-07,0.038,
2010-10,0.044,
2011-01,0.046,
2011-04,0.055,
2011-07,0.073,
2011-10,0.076,
2012-01,0.162,
2012-04,0.192,
2012-07,0.176,
2012-10,0.200,
2013-01,0.184,
2013-04,0.170,
2013-07,0.158,
2013-10,0.173,
2014-01,0.149,
2014-04,0.170,
2014-07,0.252,
