"",BBK01.OEAE06T,BBK01.OEAE06T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:06:03,
2002-01,0.615,
2002-04,0.613,
2002-07,0.615,
2002-10,0.607,
2003-01,0.612,
2003-04,0.609,
2003-07,0.654,
2003-10,0.591,
2004-01,0.606,
2004-04,0.610,
2004-07,0.605,
2004-10,0.606,
2005-01,0.601,
2005-04,0.603,
2005-07,0.618,
2005-10,0.612,
2006-01,0.607,
2006-04,0.601,
2006-07,0.613,
2006-10,0.594,
2007-01,0.604,
2007-04,0.591,
2007-07,0.592,
2007-10,0.572,
2008-01,0.578,
2008-04,0.575,
2008-07,0.571,
2008-10,0.587,
2009-01,0.638,
2009-04,0.685,
2009-07,0.658,
2009-10,0.627,
2010-01,0.668,
2010-04,0.669,
2010-07,0.674,
2010-10,0.676,
2011-01,0.672,
2011-04,0.668,
2011-07,0.676,
2011-10,0.699,
2012-01,0.704,
2012-04,0.727,
2012-07,0.735,
2012-10,0.760,
2013-01,0.733,
2013-04,0.732,
2013-07,0.748,
2013-10,0.746,
2014-01,0.726,
2014-04,0.702,
2014-07,0.699,
