"",BBFB1.Q.N.DE.A7.S1.S1.T.L.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.A7.S1.S1.T.L.FA.D.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Direct investment / South American countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:46:16,
1991-01,-0.617,
1991-04,-0.338,
1991-07,-1.710,
1991-10,-1.648,
1992-01,-3.143,
1992-04,-4.361,
1992-07,-3.185,
1992-10,2.068,
1993-01,-27.963,
1993-04,2.555,
1993-07,-4.252,
1993-10,-5.043,
1994-01,58.320,
1994-04,57.083,
1994-07,34.678,
1994-10,53.484,
1995-01,-70.130,
1995-04,-65.370,
1995-07,-64.832,
1995-10,-62.779,
1996-01,-97.647,
1996-04,-25.250,
1996-07,40.024,
1996-10,279.870,
1997-01,-241.924,
1997-04,26.254,
1997-07,3.765,
1997-10,181.399,
1998-01,-182.601,
1998-04,39.271,
1998-07,156.194,
1998-10,-154.965,
1999-01,-27.799,
1999-04,52.875,
1999-07,-9.910,
1999-10,20.177,
2000-01,79.253,
2000-04,64.280,
2000-07,156.338,
2000-10,-116.074,
2001-01,-84.766,
2001-04,80.458,
2001-07,-20.921,
2001-10,100.425,
2002-01,-93.653,
2002-04,-13.201,
2002-07,-19.768,
2002-10,-82.270,
2003-01,-111.823,
2003-04,30.433,
2003-07,76.999,
2003-10,-3.582,
2004-01,77.272,
2004-04,-36.518,
2004-07,-31.396,
2004-10,48.938,
2005-01,7.478,
2005-04,-19.371,
2005-07,84.005,
2005-10,319.628,
2006-01,-15.413,
2006-04,170.903,
2006-07,24.266,
2006-10,0.899,
2007-01,-49.241,
2007-04,133.475,
2007-07,119.587,
2007-10,47.234,
2008-01,10.562,
2008-04,39.967,
2008-07,13.581,
2008-10,130.891,
2009-01,5.234,
2009-04,-45.542,
2009-07,34.652,
2009-10,86.746,
2010-01,51.467,
2010-04,79.530,
2010-07,87.598,
2010-10,-42.850,
2011-01,-94.149,
2011-04,-522.217,
2011-07,-75.162,
2011-10,77.768,
2012-01,-72.655,
2012-04,24.243,
2012-07,-84.279,
2012-10,-64.188,
2013-01,-88.027,
2013-04,64.172,
2013-07,48.501,
2013-10,107.279,
2014-01,-74.082,Provisional value
2014-04,25.701,Provisional value
2014-07,9.858,Provisional value
2014-10,-82.624,Provisional value
