"",BBFB1.Q.N.DE.O1.S1.S1.T.D.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.O1.S1.S1.T.D.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods / Imports (fob) / Oceania and Polar Regions,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:34:31,
1991-01,297.342,
1991-04,310.814,
1991-07,394.050,
1991-10,354.843,
1992-01,333.338,
1992-04,377.940,
1992-07,312.484,
1992-10,352.107,
1993-01,241.813,
1993-04,314.393,
1993-07,302.161,
1993-10,294.026,
1994-01,285.534,
1994-04,305.492,
1994-07,345.493,
1994-10,354.416,
1995-01,293.071,
1995-04,314.738,
1995-07,331.893,
1995-10,369.465,
1996-01,288.659,
1996-04,312.110,
1996-07,357.488,
1996-10,319.551,
1997-01,308.221,
1997-04,370.074,
1997-07,431.690,
1997-10,376.356,
1998-01,335.233,
1998-04,409.578,
1998-07,442.396,
1998-10,434.035,
1999-01,317.850,
1999-04,379.610,
1999-07,420.239,
1999-10,402.603,
2000-01,392.644,
2000-04,376.761,
2000-07,458.590,
2000-10,438.585,
2001-01,455.188,
2001-04,509.961,
2001-07,477.130,
2001-10,387.112,
2002-01,388.217,
2002-04,497.120,
2002-07,428.672,
2002-10,418.947,
2003-01,405.711,
2003-04,440.009,
2003-07,470.583,
2003-10,380.205,
2004-01,511.047,
2004-04,477.655,
2004-07,489.231,
2004-10,461.199,
2005-01,379.436,
2005-04,475.718,
2005-07,434.047,
2005-10,685.621,
2006-01,502.954,
2006-04,736.646,
2006-07,573.276,
2006-10,646.976,
2007-01,820.009,
2007-04,898.443,
2007-07,736.027,
2007-10,573.149,
2008-01,500.449,
2008-04,544.143,
2008-07,762.302,
2008-10,773.396,
2009-01,790.911,
2009-04,607.921,
2009-07,564.063,
2009-10,544.223,
2010-01,435.110,
2010-04,720.561,
2010-07,668.443,
2010-10,716.782,
2011-01,740.077,
2011-04,960.934,
2011-07,1030.067,
2011-10,863.764,
2012-01,994.879,
2012-04,1036.967,
2012-07,993.465,
2012-10,-107.082,
2013-01,804.379,
2013-04,1044.046,
2013-07,736.479,
2013-10,626.049,
2014-01,692.692,Provisional value
2014-04,622.828,Provisional value
2014-07,743.869,Provisional value
