"",BBFB1.M.N.DE.W1.S1.S1.T.AD.FA.P.F3.L.XDC._X.N,BBFB1.M.N.DE.W1.S1.S1.T.AD.FA.P.F3.L.XDC._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Portfolio investment / Long-term debt-securities / Denominated in Euro / Sales / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:50:48,
1991-01,1833.389,
1991-02,2656.516,
1991-03,1802.970,
1991-04,2215.393,
1991-05,2363.465,
1991-06,2128.651,
1991-07,2735.690,
1991-08,1768.883,
1991-09,1522.219,
1991-10,3213.132,
1991-11,2494.574,
1991-12,2895.967,
1992-01,4393.764,
1992-02,3934.533,
1992-03,2660.594,
1992-04,2756.034,
1992-05,1320.054,
1992-06,2720.232,
1992-07,3042.758,
1992-08,2955.384,
1992-09,4914.395,
1992-10,6766.551,
1992-11,6971.446,
1992-12,6207.530,
1993-01,6329.218,
1993-02,11415.620,
1993-03,12249.890,
1993-04,8073.243,
1993-05,6345.486,
1993-06,5543.630,
1993-07,6947.788,
1993-08,6872.598,
1993-09,8776.017,
1993-10,10123.666,
1993-11,10267.112,
1993-12,6358.525,
1994-01,12434.194,
1994-02,8634.339,
1994-03,6059.066,
1994-04,4605.705,
1994-05,5656.349,
1994-06,4100.441,
1994-07,5988.896,
1994-08,3977.370,
1994-09,4345.360,
1994-10,7521.348,
1994-11,5818.579,
1994-12,5988.249,
1995-01,7472.723,
1995-02,7632.111,
1995-03,8195.122,
1995-04,8800.482,
1995-05,9809.468,
1995-06,9912.476,
1995-07,9419.172,
1995-08,8601.546,
1995-09,10312.311,
1995-10,8490.220,
1995-11,13276.712,
1995-12,9304.580,
1996-01,9898.200,
1996-02,15982.831,
1996-03,9857.712,
1996-04,7909.346,
1996-05,10369.091,
1996-06,5553.174,
1996-07,8730.830,
1996-08,7148.821,
1996-09,9008.869,
1996-10,12116.063,
1996-11,7571.688,
1996-12,6464.012,
1997-01,11026.160,
1997-02,9805.519,
1997-03,9487.845,
1997-04,8753.036,
