"",BBK01.QUY746,BBK01.QUY746_FLAGS
"",Consolidated German banks: Foreign securities issued by foreign banks / Argentina / All currencies,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 08:35:42,
2002-03,0.064,
2002-04,0.060,
2002-05,0.057,
2002-06,0.035,
2002-07,0.050,
2002-08,0.036,
2002-09,0.036,
2002-10,0.021,
2002-11,0.016,
2002-12,0.017,
2003-01,0.019,
2003-02,0.019,
2003-03,0.019,
2003-04,0.018,
2003-05,0.017,
2003-06,0.020,
2003-07,0.020,
2003-08,0.021,
2003-09,0.023,
2003-10,0.035,
2003-11,0.040,
2003-12,0.052,
2004-01,0.064,
2004-02,0.046,
2004-03,0.099,
2004-04,0.094,
2004-05,0.039,
2004-06,0.025,
2004-07,0.046,
2004-08,0.042,
2004-09,0.044,
2004-10,0.050,
2004-11,0.050,
2004-12,0.036,
2005-01,0.048,
2005-02,0.038,
2005-03,0.089,
2005-04,0.040,
2005-05,0.084,
2005-06,0.073,
2005-07,0.018,
2005-08,0.011,
2005-09,0.051,
2005-10,0.012,
2005-11,0.116,
2005-12,0.083,
2006-01,0.119,
2006-02,0.153,
2006-03,0.139,
2006-04,0.154,
2006-05,0.068,
2006-06,0.076,
2006-07,0.137,
2006-08,0.165,
2006-09,0.190,
2006-10,0.175,
2006-11,0.204,
2006-12,0.318,
2007-01,0.391,
2007-02,0.397,
2007-03,0.352,
2007-04,0.407,
2007-05,0.402,
2007-06,0.201,
2007-07,0.205,
2007-08,0.256,
2007-09,0.293,
2007-10,0.304,
2007-11,0.295,
2007-12,0.266,
2008-01,0.253,
2008-02,0.255,
2008-03,0.232,
2008-04,0.205,
2008-05,0.201,
2008-06,0.247,
2008-07,0.229,
2008-08,0.167,
2008-09,0.115,
2008-10,0.079,
2008-11,0.064,
2008-12,0.045,
2009-01,0.058,
2009-02,0.062,
2009-03,0.061,
2009-04,0.057,
2009-05,0.067,
2009-06,0.076,
2009-07,0.084,
2009-08,0.117,
2009-09,0.121,
2009-10,0.133,
2009-11,0.122,
2009-12,0.103,
2010-01,0.131,
2010-02,0.110,
2010-03,0.116,
2010-04,0.105,
2010-05,0.069,
2010-06,0.098,
2010-07,0.096,
2010-08,0.157,
2010-09,0.096,
2010-10,0.108,
2010-11,0.116,
2010-12,0.110,
2011-01,0.103,
2011-02,0.095,
2011-03,0.084,
2011-04,0.113,
2011-05,0.079,
2011-06,0.063,
2011-07,0.045,
2011-08,0.032,
2011-09,0.030,
2011-10,0.008,
2011-11,0.023,
2011-12,0.010,
2012-01,0.006,
2012-02,0.033,
2012-03,0.038,
2012-04,0.044,
2012-05,0.023,
2012-06,0.007,
2012-07,0.000,
2012-08,0.000,
2012-09,0.006,
2012-10,0.014,
2012-11,0.017,
2012-12,0.017,
2013-01,0.011,
2013-02,0.007,
2013-03,0.006,
2013-04,0.006,
2013-05,0.008,
2013-06,0.006,
2013-07,0.006,
2013-08,0.000,
2013-09,0.000,
2013-10,0.000,
2013-11,0.000,
2013-12,-,Nothing exists
2014-01,-,Nothing exists
2014-02,0.081,
2014-03,0.083,
2014-04,0.105,
2014-05,0.116,
2014-06,0.101,
2014-07,0.095,
2014-08,0.092,
2014-09,0.085,
2014-10,0.086,
