"",BBK01.OEAE01G,BBK01.OEAE01G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:02:48,
2002-01,76.967,
2002-04,78.500,
2002-07,77.485,
2002-10,78.864,
2003-01,77.067,
2003-04,77.029,
2003-07,77.141,
2003-10,76.507,
2004-01,76.020,
2004-04,76.785,
2004-07,76.583,
2004-10,76.638,
2005-01,76.195,
2005-04,76.407,
2005-07,75.368,
2005-10,75.924,
2006-01,74.225,
2006-04,74.635,
2006-07,74.130,
2006-10,73.911,
2007-01,73.785,
2007-04,73.665,
2007-07,74.409,
2007-10,75.665,
2008-01,75.785,
2008-04,76.700,
2008-07,80.751,
2008-10,81.915,
2009-01,81.821,
2009-04,83.187,
2009-07,83.483,
2009-10,80.138,
2010-01,75.886,
2010-04,75.761,
2010-07,77.429,
2010-10,77.303,
2011-01,77.605,
2011-04,77.058,
2011-07,76.829,
2011-10,77.407,
2012-01,76.663,
2012-04,79.390,
2012-07,80.453,
2012-10,80.125,
2013-01,79.418,
2013-04,80.000,
2013-07,75.761,
2013-10,76.699,
2014-01,76.237,
2014-04,77.055,
2014-07,77.051,
