"",BBK01.OELB12G,BBK01.OELB12G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:16,
2002-01,5.181,
2002-04,5.177,
2002-07,5.130,
2002-10,5.174,
2003-01,5.078,
2003-04,5.059,
2003-07,5.047,
2003-10,5.063,
2004-01,5.014,
2004-04,5.043,
2004-07,5.033,
2004-10,4.791,
2005-01,4.763,
2005-04,4.834,
2005-07,4.874,
2005-10,4.960,
2006-01,5.066,
2006-04,5.192,
2006-07,5.516,
2006-10,5.711,
2007-01,5.949,
2007-04,6.261,
2007-07,6.390,
2007-10,6.597,
2008-01,6.670,
2008-04,6.783,
2008-07,6.996,
2008-10,7.174,
2009-01,7.175,
2009-04,7.274,
2009-07,7.448,
2009-10,7.642,
2010-01,7.726,
2010-04,7.859,
2010-07,8.004,
2010-10,8.260,
2011-01,8.369,
2011-04,8.506,
2011-07,8.666,
2011-10,8.901,
2012-01,9.019,
2012-04,9.374,
2012-07,9.573,
2012-10,9.792,
2013-01,9.923,
2013-04,10.121,
2013-07,10.341,
2013-10,10.606,
2014-01,10.674,
2014-04,10.932,
2014-07,11.193,
