"",BBK01.OEAC19N,BBK01.OEAC19N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:41,
2002-01,3.860,
2002-04,3.881,
2002-07,3.841,
2002-10,3.509,
2003-01,3.571,
2003-04,3.576,
2003-07,3.408,
2003-10,2.975,
2004-01,3.036,
2004-04,2.967,
2004-07,2.816,
2004-10,2.437,
2005-01,2.623,
2005-04,2.480,
2005-07,2.295,
2005-10,2.066,
2006-01,2.213,
2006-04,2.075,
2006-07,1.998,
2006-10,1.732,
2007-01,1.872,
2007-04,1.881,
2007-07,1.817,
2007-10,1.700,
2008-01,1.876,
2008-04,1.869,
2008-07,1.896,
2008-10,1.949,
2009-01,3.508,
2009-04,3.394,
2009-07,3.159,
2009-10,2.866,
2010-01,3.017,
2010-04,2.988,
2010-07,2.858,
2010-10,2.675,
2011-01,2.834,
2011-04,2.784,
2011-07,2.677,
2011-10,2.501,
2012-01,2.537,
2012-04,2.818,
2012-07,2.726,
2012-10,2.615,
2013-01,2.696,
2013-04,2.560,
2013-07,2.512,
2013-10,2.303,
2014-01,2.390,
2014-04,2.410,
2014-07,2.362,
