"",BBK01.CELA01,BBK01.CELA01_FLAGS
"",short-term debt securities debtor: Total                               creditor: Non-financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:46:21,
1999-01,-0.1,
1999-04,0.7,
1999-07,-7.6,
1999-10,2.4,
2000-01,3.1,
2000-04,-1.6,
2000-07,2.4,
2000-10,9.2,
2001-01,7.4,
2001-04,-0.8,
2001-07,2.0,
2001-10,-0.4,
2002-01,7.1,
2002-04,-3.8,
2002-07,-1.2,
2002-10,-2.5,
2003-01,-4.9,
2003-04,-0.6,
2003-07,-2.7,
2003-10,7.4,
2004-01,9.7,
2004-04,9.6,
2004-07,-8.5,
2004-10,-4.5,
2005-01,4.4,
2005-04,5.0,
2005-07,-1.0,
2005-10,-6.0,
2006-01,0.3,
2006-04,0.4,
2006-07,1.1,
2006-10,-0.3,
2007-01,1.4,
2007-04,-0.4,
2007-07,0.1,
2007-10,-0.9,
2008-01,2.3,
2008-04,-1.0,
2008-07,-2.6,
2008-10,0.8,
2009-01,2.8,
2009-04,0.3,
2009-07,0.0,
2009-10,0.9,
2010-01,-0.6,
2010-04,-0.6,
2010-07,-0.1,
2010-10,-1.7,
2011-01,0.3,
2011-04,-0.3,
2011-07,1.1,
2011-10,0.9,
2012-01,-0.7,
2012-04,0.5,
2012-07,0.2,
2012-10,-2.6,
2013-01,1.8,
2013-04,-0.6,
2013-07,0.8,
2013-10,-0.4,
2014-01,1.8,
2014-04,-0.1,
2014-07,-0.4,
