"",BBDE1.Q.DE.Y.LCA1.P2XG00100.A.L.I08.A,BBDE1.Q.DE.Y.LCA1.P2XG00100.A.L.I08.A_FLAGS
"",Index of labour costs / Germany / Section G-S - Service activities / Calendar and seasonally adjusted,
unit,2008=100 (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-09 08:05:06,
1996-01,82.4,
1996-04,82.2,
1996-07,82.7,
1996-10,83.9,
1997-01,84.3,
1997-04,84.5,
1997-07,84.0,
1997-10,85.0,
1998-01,85.2,
1998-04,85.7,
1998-07,86.2,
1998-10,86.5,
1999-01,86.5,
1999-04,88.1,
1999-07,88.5,
1999-10,88.6,
2000-01,88.6,
2000-04,89.1,
2000-07,90.5,
2000-10,90.9,
2001-01,90.9,
2001-04,91.3,
2001-07,91.9,
2001-10,92.9,
2002-01,93.5,
2002-04,93.4,
2002-07,94.1,
2002-10,95.1,
2003-01,95.8,
2003-04,95.9,
2003-07,96.6,
2003-10,96.5,
2004-01,96.8,
2004-04,97.1,
2004-07,97.0,
2004-10,96.9,
2005-01,97.1,
2005-04,97.2,
2005-07,96.8,
2005-10,96.6,
2006-01,96.7,
2006-04,97.0,
2006-07,97.1,
2006-10,97.4,
2007-01,97.0,
2007-04,97.5,
2007-07,97.9,
2007-10,98.6,
2008-01,99.6,
2008-04,99.2,
2008-07,100.3,
2008-10,100.9,
2009-01,102.8,
2009-04,103.0,
2009-07,103.6,
2009-10,102.9,
2010-01,104.3,
2010-04,104.3,
2010-07,104.9,
2010-10,104.9,
2011-01,106.1,
2011-04,107.2,
2011-07,107.6,
2011-10,107.9,
2012-01,109.3,
2012-04,110.6,
2012-07,111.5,
2012-10,112.4,
2013-01,112.4,
2013-04,112.4,
2013-07,111.8,
2013-10,113.0,
2014-01,112.8,
2014-04,113.7,
2014-07,114.5,
